race_date,stadium_number,race_number,race_wind,race_wind_direction_number,race_wave,race_weather_number,race_temperature,race_water_temperature,race_technique_number,win_boat,win_payout,place_boat_1,place_payout_1,place_boat_2,place_payout_2
2025-05-01,9,12,7,6,5,2,20,20,3,2,860,2,100,1,100
2025-05-01,11,1,3,11,3,1,21,18,1,1,150,1,100,4,200
2025-05-01,11,2,3,9,4,1,20,18,5,2,370,2,110,5,270
2025-05-01,11,3,4,7,4,1,19,18,1,1,360,1,180,3,260
2025-05-01,11,4,4,9,5,1,21,19,1,1,160,1,200,6,320
2025-05-01,11,5,3,11,5,1,21,18,5,5,1020,5,400,4,500
2025-05-01,11,6,3,9,5,1,21,18,3,5,300,5,100,2,130
2025-05-01,11,7,4,11,5,1,21,19,1,1,150,1,150,3,150
2025-05-01,11,8,4,11,5,1,21,18,3,3,630,3,270,5,250
2025-05-01,11,9,6,11,6,1,20,18,3,2,120,2,100,4,230
2025-05-01,11,10,6,11,7,1,20,18,3,4,190,4,130,3,120
2025-05-01,11,11,3,9,6,1,19,18,1,1,170,1,120,3,200
2025-05-01,11,12,4,11,5,1,19,18,3,4,820,4,440,2,330
2025-05-01,15,1,3,15,3,1,20,14,1,1,190,1,100,2,140
2025-05-01,15,2,4,15,4,1,20,14,4,4,520,4,260,1,210
2025-05-01,15,3,3,15,3,1,20,14,1,1,230,1,100,6,140
2025-05-01,15,4,3,15,3,1,20,14,1,1,140,1,100,6,430
2025-05-01,15,5,1,15,1,1,20,14,4,3,240,3,100,1,170
2025-05-01,15,6,3,7,3,2,22,14,1,1,110,1,100,4,120
2025-05-01,15,7,5,7,5,2,22,14,1,1,210,1,150,2,230
2025-05-01,15,8,5,7,5,2,22,14,1,1,200,1,180,3,400
2025-05-01,15,9,5,5,5,2,21,14,2,5,720,5,380,2,850
2025-05-01,15,10,5,5,5,2,21,14,2,2,1420,2,230,3,150
2025-05-01,15,11,4,5,4,2,21,14,1,1,120,1,100,2,110
2025-05-01,15,12,3,3,3,2,20,14,4,2,1310,2,130,1,100
2025-05-01,17,1,4,13,4,1,18,15,1,1,110,1,100,5,430
2025-05-01,17,2,5,13,5,1,19,15,1,1,130,1,100,3,520
2025-05-01,17,3,5,13,5,1,20,15,2,2,120,2,280,4,420
2025-05-01,17,4,4,13,4,1,20,15,3,4,570,4,320,3,110
2025-05-01,17,5,4,13,4,1,21,15,4,5,720,5,140,1,100
2025-05-01,17,6,5,13,5,1,21,15,1,1,170,1,150,2,100
2025-05-01,17,7,4,13,4,1,21,15,2,2,160,2,100,1,100
2025-05-01,17,8,4,13,4,1,21,16,3,4,120,4,120,5,630
2025-05-01,17,9,4,13,4,1,21,16,3,3,590,3,150,2,130
2025-05-01,17,10,4,13,4,2,20,16,2,2,200,2,100,1,100
2025-05-01,17,11,2,13,2,2,20,16,1,1,110,1,100,2,180
2025-05-01,17,12,2,13,2,2,20,16,1,1,110,1,100,2,100
2025-05-01,18,1,2,7,2,1,19,16,1,1,160,1,100,2,150
2025-05-01,18,2,3,7,3,1,20,16,1,1,130,1,100,3,140
2025-05-01,18,3,4,5,4,1,20,16,2,2,520,2,180,5,1150
2025-05-01,18,4,4,5,4,1,19,16,1,1,150,1,100,3,170
2025-05-01,18,5,5,5,5,1,19,16,1,2,170,2,120,6,150
2025-05-01,18,6,5,5,5,1,20,16,2,2,290,2,100,1,100
2025-05-01,18,7,5,7,5,1,20,16,1,1,190,1,100,5,170
2025-05-01,18,8,6,5,6,1,20,16,2,2,680,2,430,1,120
2025-05-01,18,9,7,5,7,1,20,16,1,1,160,1,100,3,100
2025-05-01,18,10,7,5,7,1,20,16,1,1,110,1,110,2,210
2025-05-01,18,11,7,7,7,1,20,17,3,2,960,2,380,1,150
2025-05-01,18,12,7,5,7,1,20,17,1,1,100,1,110,4,170
2025-05-01,21,1,3,13,3,1,19,19,1,1,110,1,100,5,490
2025-05-01,21,2,1,1,1,1,20,19,5,4,260,4,120,1,100
2025-05-01,21,3,2,13,2,1,21,19,1,1,120,1,100,2,300
2025-05-01,21,4,3,13,3,1,22,19,1,1,130,1,100,4,140
2025-05-01,21,5,2,1,2,1,23,19,1,1,130,1,100,2,130
2025-05-01,21,6,2,1,2,1,23,19,1,1,140,1,100,6,100
2025-05-01,21,7,4,1,4,1,24,19,4,3,700,3,160,1,100
2025-05-01,21,8,4,1,4,2,24,19,3,2,480,2,200,3,330
2025-05-01,21,9,3,1,3,2,22,19,4,6,1140,6,750,2,700
2025-05-01,21,10,1,1,1,1,22,19,1,1,150,1,100,6,320
2025-05-01,21,11,1,1,1,2,23,19,1,1,310,1,100,3,140
2025-05-01,21,12,3,3,3,2,24,19,5,3,4010,3,420,1,100
2025-05-01,23,1,5,12,5,1,21,18,3,4,740,4,160,1,120
2025-05-01,23,2,5,12,5,1,21,18,2,2,110,2,120,1,100
2025-05-01,23,3,5,12,5,1,21,18,1,1,110,1,100,3,100
2025-05-01,23,4,5,12,5,1,21,18,3,5,160,5,200,3,430
2025-05-01,23,5,6,12,6,1,22,18,1,1,130,1,100,2,100
2025-05-01,23,6,6,12,6,1,23,18,2,3,290,3,100,6,100
2025-05-01,23,7,7,12,7,1,22,18,5,3,1330,3,510,2,130
2025-05-01,23,8,7,12,7,1,22,18,2,4,180,4,110,1,120
2025-05-01,23,9,7,12,7,1,22,18,1,1,510,1,100,4,160
2025-05-01,23,10,7,12,7,1,23,18,1,1,210,1,100,2,120
2025-05-01,23,11,7,12,7,2,23,18,1,1,170,1,160,2,980
2025-05-01,23,12,7,12,7,2,23,18,1,1,100,1,100,3,100
2025-05-01,24,1,4,3,3,2,20,19,5,1,230,1,110,2,120
2025-05-01,24,2,4,1,3,2,19,19,2,2,210,2,130,1,120
2025-05-01,24,3,3,1,2,2,19,19,5,1,190,1,130,2,140
2025-05-01,24,4,3,1,2,3,19,19,2,2,180,2,140,4,190
2025-05-01,24,5,4,1,3,3,18,19,4,5,240,5,170,2,210
2025-05-01,24,6,3,1,2,3,18,19,1,1,160,1,130,3,160
2025-05-01,24,7,3,1,2,3,17,19,1,1,140,1,100,3,100
2025-05-01,24,8,3,1,2,3,17,19,1,1,150,1,110,3,280
2025-05-01,24,9,7,9,6,3,17,19,1,1,110,1,100,3,140
2025-05-01,24,10,7,9,6,3,16,19,1,1,120,1,110,3,120
2025-05-01,24,11,6,9,5,3,15,19,4,3,700,3,220,4,240
2025-05-01,24,12,1,11,1,3,15,19,6,4,370,4,180,2,300
2025-05-02,1,1,3,10,2,3,15,18,4,4,230,4,180,2,200
2025-05-02,1,2,0,17,0,3,15,18,1,1,470,1,110,2,100
2025-05-02,1,3,1,8,1,3,15,18,4,3,460,3,130,6,160
2025-05-02,1,4,2,8,1,3,15,18,3,2,180,2,200,5,150
2025-05-02,1,5,2,6,1,3,15,18,1,6,130,6,100,5,350
2025-05-02,1,6,1,4,1,3,15,18,4,4,620,4,160,1,100
2025-05-02,1,7,2,2,1,3,15,18,2,3,140,3,120,1,140
2025-05-02,1,8,3,2,2,3,14,18,4,5,140,5,110,1,110
2025-05-02,1,9,3,2,2,3,14,18,3,4,140,4,160,5,280
2025-05-02,1,10,1,4,1,3,14,18,3,5,160,5,100,4,610
2025-05-02,1,11,1,8,1,3,14,18,1,1,140,1,100,4,100
2025-05-02,1,12,2,2,1,3,14,18,1,1,100,1,100,3,110
2025-05-02,2,1,4,12,3,2,17,20,1,1,650,1,460,4,100
2025-05-02,2,2,6,14,4,3,17,20,3,4,270,4,150,3,110
2025-05-02,2,3,4,14,3,3,17,20,3,6,410,6,290,4,290
2025-05-02,2,4,5,12,4,2,17,20,3,3,400,3,140,2,100
2025-05-02,2,5,7,12,5,3,18,20,2,4,120,4,100,2,380
2025-05-02,2,6,6,14,5,3,17,20,4,4,170,4,120,6,220
2025-05-02,2,7,1,14,2,3,17,20,2,2,500,2,230,1,100
2025-05-02,2,8,3,12,3,3,16,20,5,6,900,6,550,5,1200
2025-05-02,2,9,3,12,3,3,16,20,1,1,170,1,100,3,110
2025-05-02,2,10,5,12,4,3,16,20,3,4,410,4,150,1,100
2025-05-02,2,11,6,12,5,3,15,20,3,3,530,3,250,4,330
2025-05-02,2,12,8,12,6,3,14,19,1,1,100,1,100,2,280
2025-05-02,6,1,3,9,2,3,17,18,3,2,460,2,120,3,100
2025-05-02,6,2,3,9,2,3,17,18,1,1,160,1,300,4,210
2025-05-02,6,3,3,9,2,3,17,18,3,2,140,2,150,3,100
2025-05-02,6,4,4,9,2,3,16,18,3,4,220,4,390,2,390
2025-05-02,6,5,4,9,2,3,16,18,4,6,500,6,280,3,610
2025-05-02,6,6,3,9,2,3,16,18,1,1,160,1,120,5,250
2025-05-02,6,7,7,5,4,3,15,18,1,1,110,1,100,3,100
2025-05-02,6,8,7,5,4,3,15,17,1,1,140,1,100,4,100
2025-05-02,6,9,6,5,3,3,15,17,1,1,160,1,160,6,970
2025-05-02,6,10,6,5,3,3,17,17,5,4,1150,4,270,3,160
2025-05-02,6,11,6,5,3,3,17,17,4,3,820,3,180,1,100
2025-05-02,6,12,3,3,2,1,17,18,1,1,190,1,110,2,140
2025-05-02,7,1,2,7,1,3,15,14,5,1,140,1,110,4,320
2025-05-02,7,2,3,5,1,3,15,14,3,3,460,3,270,2,390
2025-05-02,7,3,4,1,2,2,15,14,2,2,100,2,130,1,190
2025-05-02,7,4,3,1,1,2,16,14,3,2,170,2,100,5,250
2025-05-02,7,5,3,15,1,1,16,14,4,3,210,3,240,4,150
2025-05-02,7,6,3,1,1,1,17,14,1,1,100,1,100,5,160
2025-05-02,7,7,2,1,1,1,17,14,1,1,100,1,100,3,300
2025-05-02,7,8,4,15,2,1,17,14,1,1,100,1,100,3,120
2025-05-02,7,9,4,1,2,1,16,14,1,1,120,1,100,2,140
2025-05-02,7,10,3,15,1,1,16,14,1,1,110,1,100,5,220
2025-05-02,7,11,4,1,2,1,15,14,1,1,120,1,100,2,140
2025-05-02,7,12,3,1,1,1,15,14,5,5,3080,5,420,1,100
2025-05-02,9,1,1,6,1,3,16,20,1,1,100,1,100,2,160
2025-05-02,9,2,2,6,1,3,16,20,2,4,330,4,220,2,250
2025-05-02,9,3,2,6,1,3,16,20,1,1,140,1,140,2,210
2025-05-02,9,4,1,6,1,3,16,20,4,3,170,3,120,5,240
2025-05-02,9,5,2,6,1,3,16,20,1,1,100,1,100,2,240
2025-05-02,9,6,0,17,0,3,16,20,4,6,150,6,150,2,100
2025-05-02,9,7,3,14,2,3,16,19,1,1,160,1,120,6,1200
2025-05-02,9,8,0,17,0,3,15,19,2,3,180,3,140,1,180
2025-05-02,9,9,4,14,2,2,15,19,1,1,150,1,100,2,120
2025-05-02,9,10,3,14,2,2,15,19,1,1,120,1,310,2,960
2025-05-02,9,11,3,14,2,1,16,19,4,4,260,4,100,1,100
2025-05-02,9,12,3,14,2,1,19,19,1,1,110,1,100,4,350
2025-05-02,10,1,6,12,6,2,18,16,1,1,100,1,100,2,180
2025-05-02,10,2,6,12,6,2,18,16,2,2,260,2,110,1,100
2025-05-02,10,3,6,12,6,2,19,16,1,1,100,1,120,4,620
2025-05-02,10,4,3,12,3,3,18,16,1,1,190,1,180,3,250
2025-05-02,10,5,3,16,3,3,16,16,3,5,630,5,220,3,240
2025-05-02,10,6,1,16,1,3,15,16,1,1,290,1,130,2,130
2025-05-02,10,7,4,12,4,3,15,16,1,1,230,1,170,3,190
2025-05-02,10,8,6,12,6,3,15,16,4,4,250,4,100,1,100
2025-05-02,10,9,4,12,4,3,15,16,1,1,120,1,110,6,180
2025-05-02,10,10,3,12,3,2,15,16,2,4,540,4,650,3,180
2025-05-02,10,11,1,12,1,2,15,16,2,4,530,4,280,1,110
2025-05-02,10,12,1,12,1,2,16,17,1,1,110,1,110,2,170
2025-05-02,11,1,0,17,1,3,14,18,1,1,110,1,100,2,120
2025-05-02,11,2,0,17,1,3,14,18,5,4,290,4,160,2,190
2025-05-02,11,3,0,17,1,3,14,18,1,1,130,1,100,2,360
2025-05-02,11,4,2,5,2,3,14,18,2,3,310,3,170,2,120
2025-05-02,11,5,1,5,1,2,14,18,1,1,280,1,100,4,130
2025-05-02,11,6,2,9,2,1,15,18,2,2,1060,2,200,1,100
2025-05-02,11,7,3,7,3,2,16,18,1,1,210,1,290,4,100
2025-05-02,11,8,4,7,4,2,15,18,5,4,160,4,110,1,110
2025-05-02,11,9,3,7,3,1,15,18,2,2,210,2,100,3,120
2025-05-02,11,10,3,7,3,2,15,18,1,1,120,1,110,6,820
2025-05-02,11,11,1,7,1,1,15,18,3,3,160,3,110,1,110
2025-05-02,11,12,1,11,1,1,15,18,1,1,110,1,100,2,100
2025-05-02,12,1,2,13,1,1,19,21,5,2,130,2,210,4,320
2025-05-02,12,2,0,17,1,1,19,21,5,2,520,2,180,4,130
2025-05-02,12,3,2,11,1,1,18,21,3,3,290,3,420,5,4270
2025-05-02,12,4,0,17,1,2,18,21,4,3,440,3,140,1,110
2025-05-02,12,5,1,7,1,1,18,21,1,1,120,1,110,3,280
2025-05-02,12,6,5,5,2,1,19,21,2,6,160,6,120,4,580
2025-05-02,12,7,4,5,2,1,19,21,1,1,140,1,110,3,140
2025-05-02,12,8,3,5,1,1,18,21,1,1,120,1,100,4,160
2025-05-02,12,9,3,5,1,1,18,21,3,3,2340,3,420,4,100
2025-05-02,12,10,3,5,1,1,17,21,2,3,590,3,120,1,110
2025-05-02,12,11,2,5,1,1,17,20,2,2,350,2,120,1,100
2025-05-02,12,12,2,5,1,1,16,20,1,1,100,1,100,3,190
2025-05-02,16,1,1,15,1,1,16,15,1,1,120,1,100,2,190
2025-05-02,16,2,2,7,3,1,16,15,2,4,1980,4,360,1,170
2025-05-02,16,3,2,3,3,1,16,15,2,2,260,2,100,3,170
2025-05-02,16,4,4,3,3,1,18,15,2,2,780,2,380,1,160
2025-05-02,16,5,4,3,3,1,18,15,1,1,170,1,130,3,110
2025-05-02,16,6,2,15,3,1,18,15,1,1,110,1,100,4,120
2025-05-02,16,7,2,11,3,1,19,15,2,2,210,2,100,1,100
2025-05-02,16,8,4,3,3,1,20,15,3,2,110,2,100,4,120
2025-05-02,16,9,2,3,3,1,20,15,1,1,100,1,100,6,190
2025-05-02,16,10,2,3,3,1,20,15,1,1,110,1,100,4,180
2025-05-02,16,11,2,15,3,1,20,15,4,5,2590,5,260,3,330
2025-05-02,16,12,3,15,3,1,20,15,1,1,110,1,100,3,150
2025-05-02,17,1,3,5,3,1,17,15,1,1,100,1,100,2,250
2025-05-02,17,2,2,7,2,1,17,15,4,5,680,5,200,4,1610
2025-05-02,17,3,3,13,3,1,18,15,1,1,180,1,320,4,170
2025-05-02,17,4,3,1,3,1,20,15,1,1,110,1,110,5,150
2025-05-02,17,5,6,15,6,1,20,15,2,4,590,4,360,6,1150
2025-05-02,17,6,6,1,6,1,20,16,1,1,140,1,180,2,370
2025-05-02,17,7,4,13,4,1,20,16,2,2,160,2,140,1,200
2025-05-02,17,8,3,15,3,1,21,16,4,4,870,4,240,2,120
2025-05-02,17,9,5,1,5,1,21,16,3,3,1650,3,210,1,100
2025-05-02,17,10,3,3,3,1,21,16,2,4,420,4,140,2,130
2025-05-02,17,11,5,3,5,1,20,16,1,1,160,1,100,2,110
2025-05-02,17,12,4,3,4,1,20,16,2,2,950,2,190,1,120
2025-05-02,21,1,5,5,5,1,17,20,1,1,140,1,100,3,230
2025-05-02,21,2,4,5,4,1,17,20,1,1,170,1,100,4,110
2025-05-02,21,3,5,5,5,1,17,20,1,1,190,1,100,3,140
2025-05-02,21,4,4,5,4,1,17,20,1,1,110,1,100,2,470
2025-05-02,21,5,7,5,7,1,17,20,5,4,2410,4,2630,3,440
2025-05-02,21,6,5,5,5,1,17,20,1,1,180,1,100,2,110
2025-05-02,21,7,5,5,5,1,17,20,1,1,130,1,100,4,180
2025-05-02,21,8,6,5,6,1,17,20,1,2,360,2,180,5,600
2025-05-02,21,9,5,5,5,1,18,20,4,4,1040,4,510,6,120
2025-05-02,21,10,5,5,5,1,18,20,1,1,120,1,100,2,270
2025-05-02,21,11,5,5,5,1,18,20,4,5,4080,5,2560,3,1090
2025-05-02,21,12,5,5,5,1,18,20,1,1,130,1,100,2,180
2025-05-02,23,1,2,2,2,1,16,19,1,1,100,1,100,3,160
2025-05-02,23,2,3,2,3,1,17,19,1,1,100,1,100,2,150
2025-05-02,23,3,3,2,3,1,16,19,1,1,120,1,110,6,880
2025-05-02,23,4,2,2,2,1,18,19,1,1,430,1,110,4,350
2025-05-02,23,5,3,4,3,1,19,19,1,1,110,1,110,3,230
2025-05-02,23,6,2,2,2,1,19,19,4,4,160,4,160,6,260
2025-05-02,23,7,3,2,3,1,18,19,2,4,180,4,300,1,220
2025-05-02,23,8,3,4,3,1,19,19,5,2,130,2,100,1,130
2025-05-02,23,9,3,4,3,1,19,19,3,2,270,2,150,5,220
2025-05-02,23,10,3,2,3,1,19,19,1,1,210,1,120,2,220
2025-05-02,23,11,3,2,3,1,20,19,6,5,270,5,100,3,110
2025-05-02,23,12,2,2,2,1,20,19,1,1,120,1,100,2,150
2025-05-02,24,1,2,9,1,1,17,20,1,1,150,1,100,2,190
2025-05-02,24,2,2,9,1,1,17,20,4,5,1450,5,250,1,100
2025-05-02,24,3,2,9,1,1,17,20,1,1,170,1,100,3,100
2025-05-02,24,4,2,9,1,1,16,20,1,1,140,1,110,3,620
2025-05-02,24,5,2,9,1,1,16,20,4,4,300,4,200,1,100
2025-05-02,24,6,3,9,2,1,16,20,1,1,150,1,110,4,150
2025-05-02,24,7,2,9,1,1,16,20,1,1,130,1,100,3,150
2025-05-02,24,8,2,9,1,1,16,20,2,2,260,2,100,1,100
2025-05-02,24,9,3,9,2,1,16,20,1,1,160,1,120,4,380
2025-05-02,24,10,1,15,1,1,15,20,1,1,110,1,100,4,240
2025-05-02,24,11,1,15,1,1,14,20,3,4,670,4,350,6,620
2025-05-02,24,12,1,13,1,1,14,20,1,1,120,1,120,2,220
2025-05-03,1,1,3,10,2,1,21,19,2,2,170,2,100,1,130
2025-05-03,1,2,4,10,3,1,21,19,1,4,100,4,100,3,140
2025-05-03,1,3,3,10,2,1,21,19,3,4,250,4,310,2,290
2025-05-03,1,4,3,10,2,1,21,19,2,2,110,2,130,5,1000
2025-05-03,1,5,5,10,4,1,21,19,3,5,350,5,270,1,200
2025-05-03,1,6,4,10,3,1,21,19,1,1,100,1,100,3,170
2025-05-03,1,7,3,10,2,1,20,19,4,3,140,3,160,4,120
2025-05-03,1,8,4,10,3,1,20,19,4,5,170,5,100,1,100
2025-05-03,1,9,4,10,3,2,19,19,1,3,100,3,100,2,340
2025-05-03,1,10,3,8,2,2,18,19,4,4,1010,4,240,5,120
2025-05-03,1,11,3,8,2,2,17,19,4,3,770,3,170,1,100
2025-05-03,1,12,4,10,3,2,17,19,1,1,100,1,100,3,140
2025-05-03,2,1,2,6,2,1,20,19,2,2,340,2,210,1,160
2025-05-03,2,2,1,14,2,1,20,19,3,3,770,3,190,2,160
2025-05-03,2,3,2,14,2,1,20,19,1,1,300,1,230,4,150
2025-05-03,2,4,1,16,1,1,21,19,2,2,320,2,300,5,180
2025-05-03,2,5,2,14,2,1,22,19,3,4,410,4,110,1,100
2025-05-03,2,6,3,16,3,1,22,20,4,3,1160,3,460,2,390
2025-05-03,2,7,3,16,2,1,22,20,4,3,1560,3,210,2,190
2025-05-03,2,8,3,16,3,1,22,20,3,3,380,3,170,4,610
2025-05-03,2,9,6,14,5,1,22,20,2,2,760,2,230,1,150
2025-05-03,2,10,7,14,5,1,22,20,5,6,1320,6,480,2,100
2025-05-03,2,11,4,14,4,1,22,20,4,3,510,3,120,1,100
2025-05-03,2,12,4,14,4,1,22,20,1,1,170,1,120,3,240
2025-05-03,4,1,1,5,3,1,21,18,3,2,570,2,110,3,110
2025-05-03,4,2,4,5,3,1,21,18,1,1,150,1,100,2,280
2025-05-03,4,3,5,5,3,1,21,18,1,1,200,1,270,2,250
2025-05-03,4,4,2,5,3,1,21,18,1,1,380,1,110,3,120
2025-05-03,4,5,2,5,3,1,21,18,3,2,200,2,120,3,450
2025-05-03,4,6,4,5,3,1,21,18,3,2,170,2,180,3,140
2025-05-03,4,7,3,5,3,1,22,18,4,4,870,4,150,2,360
2025-05-03,4,8,5,5,3,1,20,18,4,3,1570,3,550,4,190
2025-05-03,4,9,6,5,3,1,22,18,3,3,550,3,570,4,320
2025-05-03,4,10,4,5,3,1,22,18,2,2,710,2,120,1,130
2025-05-03,4,11,4,5,3,1,20,18,3,2,440,2,220,5,290
2025-05-03,4,12,3,5,3,1,20,18,4,5,1180,5,640,4,490
2025-05-03,6,1,2,1,1,1,19,17,1,1,160,1,170,3,150
2025-05-03,6,2,3,1,2,1,19,18,2,2,130,2,100,4,150
2025-05-03,6,3,3,1,2,1,20,18,4,3,1000,3,140,2,100
2025-05-03,6,4,3,1,1,1,20,17,2,5,510,5,210,4,240
2025-05-03,6,5,3,1,1,1,20,17,2,2,960,2,200,6,430
2025-05-03,6,6,3,1,2,1,20,18,4,6,210,6,200,3,150
2025-05-03,6,7,3,1,2,1,22,18,4,4,440,4,400,3,150
2025-05-03,6,8,3,1,2,1,22,18,3,4,110,4,170,6,560
2025-05-03,6,9,4,15,2,1,20,18,4,5,410,5,140,2,130
2025-05-03,6,10,5,15,3,1,19,18,3,2,700,2,160,3,160
2025-05-03,6,11,5,15,3,1,19,18,1,1,100,1,100,2,560
2025-05-03,6,12,4,15,2,1,19,18,4,2,680,2,160,1,100
2025-05-03,7,1,4,13,2,1,21,14,2,3,580,3,310,2,240
2025-05-03,7,2,4,13,2,1,20,14,2,2,140,2,110,1,130
2025-05-03,7,3,4,13,2,1,20,14,1,1,120,1,100,6,220
2025-05-03,7,4,4,13,2,1,19,14,4,6,310,6,130,2,230
2025-05-03,7,5,3,13,1,1,19,14,1,1,120,1,100,5,200
2025-05-03,7,6,2,13,1,1,19,14,1,1,130,1,110,2,130
2025-05-03,7,7,1,13,1,1,19,14,1,1,120,1,100,4,120
2025-05-03,7,8,2,9,1,1,18,14,1,1,120,1,110,5,130
2025-05-03,7,9,1,9,1,1,18,14,1,1,100,1,100,3,330
2025-05-03,7,10,2,7,1,1,18,14,1,1,100,1,100,2,180
2025-05-03,7,11,2,7,1,1,18,14,1,1,140,1,100,3,130
2025-05-03,7,12,2,7,1,1,18,14,1,1,100,1,100,3,180
