racer_id,wind_band,races,wins,win_rate,low_sample
3246,6+,3,0,0.0,1
3251,0-1,101,22,0.2178,0
3251,2-3,188,32,0.1702,0
3251,4-5,97,15,0.1546,0
3251,6+,15,2,0.1333,0
3256,0-1,92,24,0.2609,0
3256,2-3,158,41,0.2595,0
3256,4-5,72,17,0.2361,0
3256,6+,21,4,0.1905,0
3257,0-1,80,29,0.3625,0
3257,2-3,128,49,0.3828,0
3257,4-5,40,13,0.325,0
3257,6+,13,2,0.1538,0
3265,0-1,85,17,0.2,0
3265,2-3,115,29,0.2522,0
3265,4-5,58,10,0.1724,0
3265,6+,22,7,0.3182,0
3268,0-1,87,7,0.0805,0
3268,2-3,117,14,0.1197,0
3268,4-5,59,7,0.1186,0
3268,6+,21,3,0.1429,0
3273,0-1,12,2,0.1667,0
3273,2-3,23,2,0.087,0
3273,4-5,16,1,0.0625,0
3273,6+,3,0,0.0,1
3277,0-1,64,4,0.0625,0
3277,2-3,126,11,0.0873,0
3277,4-5,69,7,0.1014,0
3277,6+,29,2,0.069,0
3282,0-1,71,4,0.0563,0
3282,2-3,133,10,0.0752,0
3282,4-5,53,2,0.0377,0
3282,6+,23,1,0.0435,0
3284,0-1,51,8,0.1569,0
3284,2-3,141,18,0.1277,0
3284,4-5,65,10,0.1538,0
3284,6+,16,1,0.0625,0
3286,0-1,55,5,0.0909,0
3286,2-3,99,13,0.1313,0
3286,4-5,36,3,0.0833,0
3286,6+,12,2,0.1667,0
3289,0-1,49,2,0.0408,0
3289,2-3,65,6,0.0923,0
3289,4-5,31,3,0.0968,0
3289,6+,11,0,0.0,0
3293,0-1,52,1,0.0192,0
3293,2-3,137,3,0.0219,0
3293,4-5,62,1,0.0161,0
3293,6+,15,0,0.0,0
3294,0-1,60,7,0.1167,0
3294,2-3,115,8,0.0696,0
3294,4-5,45,4,0.0889,0
3294,6+,25,2,0.08,0
3297,0-1,65,7,0.1077,0
3297,2-3,139,11,0.0791,0
3297,4-5,53,4,0.0755,0
3297,6+,9,1,0.1111,1
3300,0-1,81,23,0.284,0
3300,2-3,144,25,0.1736,0
3300,4-5,93,19,0.2043,0
3300,6+,16,5,0.3125,0
3302,0-1,48,10,0.2083,0
3302,2-3,119,18,0.1513,0
3302,4-5,31,6,0.1935,0
3302,6+,9,1,0.1111,1
3303,0-1,93,4,0.043,0
3303,2-3,128,12,0.0938,0
3303,4-5,85,6,0.0706,0
3303,6+,34,8,0.2353,0
3304,0-1,81,19,0.2346,0
3304,2-3,175,37,0.2114,0
3304,4-5,81,16,0.1975,0
3304,6+,31,8,0.2581,0
3305,0-1,66,9,0.1364,0
3305,2-3,123,15,0.122,0
3305,4-5,61,2,0.0328,0
3305,6+,14,1,0.0714,0
3306,0-1,78,4,0.0513,0
3306,2-3,119,7,0.0588,0
3306,4-5,51,4,0.0784,0
3306,6+,18,2,0.1111,0
3313,0-1,63,2,0.0317,0
3313,2-3,119,9,0.0756,0
3313,4-5,69,6,0.087,0
3313,6+,29,8,0.2759,0
3315,0-1,34,3,0.0882,0
3315,2-3,131,6,0.0458,0
3315,4-5,45,4,0.0889,0
3315,6+,16,1,0.0625,0
3319,0-1,75,6,0.08,0
3319,2-3,113,11,0.0973,0
3319,4-5,67,11,0.1642,0
3319,6+,35,7,0.2,0
3327,0-1,76,13,0.1711,0
3327,2-3,147,26,0.1769,0
3327,4-5,76,20,0.2632,0
3327,6+,21,7,0.3333,0
3333,0-1,80,26,0.325,0
3333,2-3,173,33,0.1908,0
3333,4-5,91,20,0.2198,0
3333,6+,28,5,0.1786,0
3334,0-1,82,5,0.061,0
3334,2-3,168,33,0.1964,0
3334,4-5,77,16,0.2078,0
3334,6+,21,2,0.0952,0
3339,0-1,76,5,0.0658,0
3339,2-3,107,9,0.0841,0
3339,4-5,52,4,0.0769,0
3339,6+,25,5,0.2,0
3340,0-1,60,8,0.1333,0
3340,2-3,152,10,0.0658,0
3340,4-5,69,9,0.1304,0
3340,6+,24,6,0.25,0
3346,0-1,28,1,0.0357,0
3346,2-3,63,6,0.0952,0
3346,4-5,24,2,0.0833,0
3346,6+,6,0,0.0,1
3349,0-1,74,16,0.2162,0
3349,2-3,145,32,0.2207,0
3349,4-5,79,20,0.2532,0
3349,6+,18,5,0.2778,0
3350,0-1,71,16,0.2254,0
3350,2-3,142,21,0.1479,0
3350,4-5,65,10,0.1538,0
3350,6+,13,3,0.2308,0
3352,0-1,56,1,0.0179,0
3352,2-3,141,3,0.0213,0
3352,4-5,69,1,0.0145,0
3352,6+,23,1,0.0435,0
3353,0-1,48,4,0.0833,0
3353,2-3,73,4,0.0548,0
3353,4-5,36,2,0.0556,0
3353,6+,10,0,0.0,0
3355,0-1,19,1,0.0526,0
3355,2-3,51,0,0.0,0
3355,4-5,35,1,0.0286,0
3355,6+,7,0,0.0,1
3357,0-1,58,4,0.069,0
3357,2-3,142,6,0.0423,0
3357,4-5,52,1,0.0192,0
3357,6+,15,2,0.1333,0
3361,0-1,58,3,0.0517,0
3361,2-3,124,8,0.0645,0
3361,4-5,60,7,0.1167,0
3361,6+,10,0,0.0,0
3362,0-1,60,8,0.1333,0
3362,2-3,155,24,0.1548,0
3362,4-5,69,12,0.1739,0
3362,6+,26,4,0.1538,0
3370,0-1,64,3,0.0469,0
3370,2-3,101,8,0.0792,0
3370,4-5,57,2,0.0351,0
3370,6+,22,3,0.1364,0
3372,0-1,50,3,0.06,0
3372,2-3,100,3,0.03,0
3372,4-5,39,0,0.0,0
3372,6+,9,0,0.0,1
3377,0-1,57,0,0.0,0
3377,2-3,124,7,0.0565,0
3377,4-5,49,5,0.102,0
3377,6+,12,1,0.0833,0
3381,0-1,88,10,0.1136,0
3381,2-3,129,24,0.186,0
3381,4-5,60,6,0.1,0
3381,6+,29,2,0.069,0
3385,0-1,68,12,0.1765,0
3385,2-3,145,22,0.1517,0
3385,4-5,79,13,0.1646,0
3385,6+,12,2,0.1667,0
3388,0-1,74,21,0.2838,0
3388,2-3,123,31,0.252,0
3388,4-5,64,20,0.3125,0
3388,6+,14,7,0.5,0
3391,0-1,2,0,0.0,1
3391,2-3,18,0,0.0,0
3391,4-5,7,0,0.0,1
3392,0-1,77,6,0.0779,0
3392,2-3,119,3,0.0252,0
3392,4-5,53,7,0.1321,0
3392,6+,30,1,0.0333,0
3401,0-1,59,4,0.0678,0
3401,2-3,120,14,0.1167,0
3401,4-5,67,9,0.1343,0
3401,6+,24,2,0.0833,0
3406,0-1,90,10,0.1111,0
3406,2-3,165,22,0.1333,0
3406,4-5,66,14,0.2121,0
3406,6+,19,4,0.2105,0
3411,0-1,62,2,0.0323,0
3411,2-3,122,6,0.0492,0
3411,4-5,64,4,0.0625,0
3411,6+,8,0,0.0,1
3412,0-1,84,20,0.2381,0
3412,2-3,185,49,0.2649,0
3412,4-5,78,15,0.1923,0
3412,6+,22,5,0.2273,0
3414,0-1,13,2,0.1538,0
3414,2-3,53,6,0.1132,0
3414,4-5,13,1,0.0769,0
3414,6+,1,0,0.0,1
3415,0-1,120,25,0.2083,0
3415,2-3,155,38,0.2452,0
3415,4-5,58,13,0.2241,0
3415,6+,13,2,0.1538,0
3419,0-1,24,1,0.0417,0
3419,2-3,33,1,0.0303,0
3419,4-5,20,0,0.0,0
3419,6+,7,0,0.0,1
3422,0-1,87,29,0.3333,0
3422,2-3,168,40,0.2381,0
3422,4-5,62,21,0.3387,0
3422,6+,29,8,0.2759,0
3430,0-1,71,9,0.1268,0
3430,2-3,148,10,0.0676,0
3430,4-5,68,13,0.1912,0
3430,6+,16,2,0.125,0
3432,0-1,68,3,0.0441,0
3432,2-3,121,10,0.0826,0
3432,4-5,69,7,0.1014,0
3432,6+,13,0,0.0,0
3434,0-1,75,8,0.1067,0
3434,2-3,130,13,0.1,0
3434,4-5,73,8,0.1096,0
3434,6+,24,1,0.0417,0
3435,0-1,84,18,0.2143,0
3435,2-3,169,41,0.2426,0
3435,4-5,68,12,0.1765,0
3435,6+,21,3,0.1429,0
3436,0-1,56,8,0.1429,0
3436,2-3,127,28,0.2205,0
3436,4-5,81,14,0.1728,0
3436,6+,16,3,0.1875,0
3439,0-1,74,14,0.1892,0
3439,2-3,163,32,0.1963,0
3439,4-5,81,23,0.284,0
3439,6+,14,3,0.2143,0
3441,0-1,87,7,0.0805,0
3441,2-3,132,10,0.0758,0
3441,4-5,57,4,0.0702,0
3441,6+,17,1,0.0588,0
3442,0-1,64,5,0.0781,0
3442,2-3,148,11,0.0743,0
3442,4-5,53,4,0.0755,0
3442,6+,16,3,0.1875,0
3444,0-1,48,3,0.0625,0
3444,2-3,81,4,0.0494,0
3444,4-5,37,4,0.1081,0
3444,6+,11,2,0.1818,0
3445,0-1,62,9,0.1452,0
3445,2-3,123,11,0.0894,0
3445,4-5,54,4,0.0741,0
3445,6+,25,2,0.08,0
3448,0-1,66,5,0.0758,0
3448,2-3,112,10,0.0893,0
3448,4-5,34,0,0.0,0
3448,6+,11,1,0.0909,0
3454,0-1,59,5,0.0847,0
3454,2-3,139,13,0.0935,0
3454,4-5,61,7,0.1148,0
3454,6+,12,3,0.25,0
3455,0-1,92,12,0.1304,0
3455,2-3,130,18,0.1385,0
3455,4-5,58,6,0.1034,0
3455,6+,14,2,0.1429,0
3458,0-1,53,1,0.0189,0
3458,2-3,142,16,0.1127,0
3458,4-5,45,2,0.0444,0
3458,6+,12,1,0.0833,0
3459,0-1,53,3,0.0566,0
3459,2-3,118,7,0.0593,0
3459,4-5,65,2,0.0308,0
3459,6+,22,2,0.0909,0
3461,0-1,39,1,0.0256,0
3461,2-3,95,10,0.1053,0
3461,4-5,43,1,0.0233,0
3461,6+,7,0,0.0,1
3462,0-1,8,4,0.5,1
3462,2-3,49,6,0.1224,0
3462,4-5,15,0,0.0,0
3462,6+,2,0,0.0,1
3463,0-1,77,7,0.0909,0
3463,2-3,138,11,0.0797,0
3463,4-5,60,3,0.05,0
3463,6+,9,1,0.1111,1
3467,0-1,60,2,0.0333,0
3467,2-3,127,10,0.0787,0
3467,4-5,41,0,0.0,0
3467,6+,12,1,0.0833,0
3470,0-1,72,13,0.1806,0
3470,2-3,118,18,0.1525,0
3470,4-5,44,3,0.0682,0
3470,6+,16,3,0.1875,0
3471,0-1,65,4,0.0615,0
3471,2-3,118,9,0.0763,0
3471,4-5,57,4,0.0702,0
3471,6+,18,0,0.0,0
3473,0-1,86,20,0.2326,0
3473,2-3,176,54,0.3068,0
3473,4-5,92,27,0.2935,0
3473,6+,21,8,0.381,0
3474,0-1,59,6,0.1017,0
3474,2-3,130,14,0.1077,0
3474,4-5,85,5,0.0588,0
3474,6+,33,0,0.0,0
3475,0-1,74,12,0.1622,0
3475,2-3,131,26,0.1985,0
3475,4-5,51,9,0.1765,0
3475,6+,23,1,0.0435,0
3477,0-1,76,4,0.0526,0
3477,2-3,135,3,0.0222,0
3477,4-5,38,3,0.0789,0
3477,6+,24,2,0.0833,0
3478,0-1,80,9,0.1125,0
3478,2-3,157,24,0.1529,0
3478,4-5,57,7,0.1228,0
3478,6+,14,2,0.1429,0
3482,0-1,106,14,0.1321,0
3482,2-3,166,17,0.1024,0
3482,4-5,72,11,0.1528,0
3482,6+,28,5,0.1786,0
3484,0-1,80,14,0.175,0
3484,2-3,148,26,0.1757,0
3484,4-5,61,21,0.3443,0
3484,6+,11,2,0.1818,0
3489,0-1,96,16,0.1667,0
3489,2-3,187,35,0.1872,0
3489,4-5,92,17,0.1848,0
3489,6+,32,7,0.2188,0
3497,0-1,82,18,0.2195,0
3497,2-3,120,20,0.1667,0
3497,4-5,43,4,0.093,0
3497,6+,16,0,0.0,0
3499,0-1,65,19,0.2923,0
3499,2-3,169,36,0.213,0
3499,4-5,83,19,0.2289,0
3499,6+,20,5,0.25,0
3502,0-1,70,10,0.1429,0
3502,2-3,150,22,0.1467,0
3502,4-5,82,11,0.1341,0
3502,6+,21,3,0.1429,0
3503,0-1,76,4,0.0526,0
3503,2-3,117,9,0.0769,0
3503,4-5,70,4,0.0571,0
3503,6+,27,4,0.1481,0
3505,0-1,77,15,0.1948,0
3505,2-3,160,23,0.1437,0
3505,4-5,72,9,0.125,0
3505,6+,24,4,0.1667,0
3507,0-1,54,4,0.0741,0
3507,2-3,110,8,0.0727,0
3507,4-5,57,2,0.0351,0
3507,6+,11,1,0.0909,0
3508,0-1,69,9,0.1304,0
3508,2-3,121,16,0.1322,0
3508,4-5,81,12,0.1481,0
3508,6+,33,4,0.1212,0
3509,0-1,46,0,0.0,0
3509,2-3,109,4,0.0367,0
3509,4-5,56,2,0.0357,0
3509,6+,12,1,0.0833,0
3514,0-1,90,19,0.2111,0
3514,2-3,129,32,0.2481,0
3514,4-5,87,18,0.2069,0
3514,6+,18,5,0.2778,0
3516,0-1,78,10,0.1282,0
3516,2-3,116,7,0.0603,0
3516,4-5,53,5,0.0943,0
3516,6+,20,1,0.05,0
3517,0-1,80,12,0.15,0
3517,2-3,144,28,0.1944,0
3517,4-5,57,9,0.1579,0
3517,6+,26,5,0.1923,0
3518,0-1,51,2,0.0392,0
3518,2-3,95,3,0.0316,0
3518,4-5,66,7,0.1061,0
3518,6+,16,0,0.0,0
3519,0-1,61,5,0.082,0
3519,2-3,128,9,0.0703,0
3519,4-5,70,5,0.0714,0
3519,6+,14,1,0.0714,0
3523,0-1,51,2,0.0392,0
3523,2-3,101,5,0.0495,0
3523,4-5,69,4,0.058,0
3523,6+,15,1,0.0667,0
3527,0-1,79,7,0.0886,0
3527,2-3,140,16,0.1143,0
3527,4-5,77,14,0.1818,0
3527,6+,28,5,0.1786,0
3528,0-1,58,2,0.0345,0
3528,2-3,113,9,0.0796,0
3528,4-5,58,7,0.1207,0
3528,6+,12,1,0.0833,0
3532,0-1,72,24,0.3333,0
3532,2-3,98,25,0.2551,0
3532,4-5,58,13,0.2241,0
3532,6+,12,2,0.1667,0
3535,0-1,56,7,0.125,0
3535,2-3,130,9,0.0692,0
3535,4-5,61,8,0.1311,0
3535,6+,17,1,0.0588,0
3538,0-1,47,4,0.0851,0
3538,2-3,93,6,0.0645,0
3538,4-5,33,1,0.0303,0
3538,6+,10,1,0.1,0
3539,0-1,65,6,0.0923,0
3539,2-3,165,9,0.0545,0
3539,4-5,64,9,0.1406,0
3539,6+,19,1,0.0526,0
3541,0-1,65,14,0.2154,0
3541,2-3,154,28,0.1818,0
3541,4-5,96,22,0.2292,0
3541,6+,30,7,0.2333,0
3542,0-1,56,4,0.0714,0
3542,2-3,144,7,0.0486,0
3542,4-5,69,11,0.1594,0
3542,6+,10,1,0.1,0
3543,0-1,51,6,0.1176,0
3543,2-3,127,18,0.1417,0
3543,4-5,43,10,0.2326,0
3543,6+,12,1,0.0833,0
3544,0-1,42,4,0.0952,0
3544,2-3,90,4,0.0444,0
3544,4-5,59,3,0.0508,0
3544,6+,18,0,0.0,0
3546,0-1,82,4,0.0488,0
3546,2-3,114,8,0.0702,0
3546,4-5,57,4,0.0702,0
3546,6+,21,4,0.1905,0
3548,0-1,98,18,0.1837,0
3548,2-3,155,29,0.1871,0
3548,4-5,85,14,0.1647,0
3548,6+,32,5,0.1562,0
3550,0-1,90,20,0.2222,0
3550,2-3,169,28,0.1657,0
3550,4-5,70,20,0.2857,0
3550,6+,12,2,0.1667,0
3551,0-1,52,6,0.1154,0
3551,2-3,110,4,0.0364,0
3551,4-5,47,2,0.0426,0
3551,6+,8,1,0.125,1
3553,0-1,3,0,0.0,1
3553,2-3,6,1,0.1667,1
3553,4-5,1,1,1.0,1
3554,0-1,101,26,0.2574,0
3554,2-3,211,55,0.2607,0
3554,4-5,84,25,0.2976,0
3554,6+,24,7,0.2917,0
3556,0-1,126,41,0.3254,0
3556,2-3,169,52,0.3077,0
3556,4-5,55,13,0.2364,0
3556,6+,14,4,0.2857,0
3557,0-1,127,25,0.1969,0
3557,2-3,194,49,0.2526,0
3557,4-5,99,22,0.2222,0
3557,6+,22,3,0.1364,0
3558,0-1,80,10,0.125,0
3558,2-3,130,18,0.1385,0
3558,4-5,49,5,0.102,0
3558,6+,11,4,0.3636,0
3562,0-1,80,21,0.2625,0
3562,2-3,183,37,0.2022,0
3562,4-5,85,18,0.2118,0
3562,6+,18,2,0.1111,0
3563,0-1,79,13,0.1646,0
3563,2-3,147,24,0.1633,0
3563,4-5,83,11,0.1325,0
3563,6+,18,2,0.1111,0
3564,0-1,58,4,0.069,0
3564,2-3,144,16,0.1111,0
3564,4-5,69,9,0.1304,0
3564,6+,30,7,0.2333,0
3566,0-1,81,11,0.1358,0
3566,2-3,126,14,0.1111,0
3566,4-5,72,5,0.0694,0
3566,6+,15,3,0.2,0
3567,0-1,36,5,0.1389,0
3567,2-3,114,6,0.0526,0
3567,4-5,48,3,0.0625,0
3567,6+,10,1,0.1,0
3568,0-1,57,3,0.0526,0
3568,2-3,130,14,0.1077,0
3568,4-5,72,11,0.1528,0
3568,6+,19,2,0.1053,0
3569,0-1,56,1,0.0179,0
3569,2-3,122,6,0.0492,0
3569,4-5,85,8,0.0941,0
3569,6+,35,4,0.1143,0
3572,0-1,71,8,0.1127,0
3572,2-3,142,18,0.1268,0
3572,4-5,94,12,0.1277,0
3572,6+,29,9,0.3103,0
3574,0-1,79,20,0.2532,0
3574,2-3,149,43,0.2886,0
3574,4-5,73,14,0.1918,0
3574,6+,20,5,0.25,0
3576,0-1,93,15,0.1613,0
3576,2-3,138,29,0.2101,0
3576,4-5,66,13,0.197,0
3576,6+,31,8,0.2581,0
3577,0-1,67,9,0.1343,0
3577,2-3,100,12,0.12,0
3577,4-5,61,7,0.1148,0
3577,6+,13,1,0.0769,0
3578,0-1,44,7,0.1591,0
3578,2-3,86,3,0.0349,0
3578,4-5,50,4,0.08,0
3578,6+,19,0,0.0,0
3579,0-1,46,6,0.1304,0
3579,2-3,114,15,0.1316,0
3579,4-5,49,6,0.1224,0
3579,6+,8,0,0.0,1
3580,0-1,63,4,0.0635,0
3580,2-3,124,10,0.0806,0
3580,4-5,69,3,0.0435,0
3580,6+,22,2,0.0909,0
3581,0-1,70,7,0.1,0
3581,2-3,136,16,0.1176,0
3581,4-5,78,6,0.0769,0
3581,6+,17,2,0.1176,0
3582,0-1,86,19,0.2209,0
3582,2-3,153,49,0.3203,0
3582,4-5,91,20,0.2198,0
3582,6+,20,5,0.25,0
3583,0-1,59,0,0.0,0
3583,2-3,99,5,0.0505,0
3583,4-5,60,1,0.0167,0
3583,6+,17,1,0.0588,0
3584,0-1,65,2,0.0308,0
3584,2-3,149,18,0.1208,0
3584,4-5,61,10,0.1639,0
3584,6+,26,0,0.0,0
3587,0-1,80,3,0.0375,0
3587,2-3,138,9,0.0652,0
3587,4-5,57,6,0.1053,0
3587,6+,10,1,0.1,0
3589,0-1,74,6,0.0811,0
3589,2-3,112,13,0.1161,0
3589,4-5,46,3,0.0652,0
3589,6+,10,3,0.3,0
3590,0-1,90,19,0.2111,0
3590,2-3,171,47,0.2749,0
3590,4-5,77,27,0.3506,0
3590,6+,32,8,0.25,0
3591,0-1,52,3,0.0577,0
3591,2-3,70,3,0.0429,0
3591,4-5,37,0,0.0,0
3591,6+,22,1,0.0455,0
3596,0-1,54,3,0.0556,0
3596,2-3,95,5,0.0526,0
3596,4-5,71,5,0.0704,0
3596,6+,15,4,0.2667,0
3600,0-1,15,2,0.1333,0
3600,2-3,19,0,0.0,0
3600,4-5,12,1,0.0833,0
3600,6+,3,1,0.3333,1
3602,0-1,74,5,0.0676,0
3602,2-3,100,10,0.1,0
3602,4-5,64,6,0.0938,0
3602,6+,22,3,0.1364,0
3604,0-1,52,5,0.0962,0
3604,2-3,126,9,0.0714,0
3604,4-5,59,8,0.1356,0
3604,6+,19,1,0.0526,0
3605,0-1,52,5,0.0962,0
3605,2-3,124,7,0.0565,0
3605,4-5,65,7,0.1077,0
3605,6+,19,1,0.0526,0
3606,0-1,77,14,0.1818,0
3606,2-3,155,20,0.129,0
3606,4-5,82,14,0.1707,0
3606,6+,17,2,0.1176,0
3611,0-1,68,8,0.1176,0
3611,2-3,141,18,0.1277,0
3611,4-5,71,17,0.2394,0
3611,6+,17,4,0.2353,0
3612,0-1,105,27,0.2571,0
3612,2-3,173,37,0.2139,0
3612,4-5,99,26,0.2626,0
3612,6+,31,6,0.1935,0
3613,0-1,96,25,0.2604,0
3613,2-3,165,32,0.1939,0
3613,4-5,82,17,0.2073,0
3613,6+,30,4,0.1333,0
3614,0-1,65,7,0.1077,0
3614,2-3,172,19,0.1105,0
3614,4-5,71,0,0.0,0
3614,6+,10,0,0.0,0
3615,0-1,70,5,0.0714,0
3615,2-3,161,18,0.1118,0
3615,4-5,62,6,0.0968,0
3615,6+,16,0,0.0,0
3616,0-1,71,10,0.1408,0
3616,2-3,111,17,0.1532,0
3616,4-5,61,4,0.0656,0
3616,6+,16,3,0.1875,0
3617,0-1,50,6,0.12,0
3617,2-3,131,14,0.1069,0
3617,4-5,66,10,0.1515,0
3617,6+,20,2,0.1,0
3618,0-1,70,13,0.1857,0
3618,2-3,187,43,0.2299,0
3618,4-5,69,23,0.3333,0
3618,6+,14,3,0.2143,0
3619,0-1,86,9,0.1047,0
3619,2-3,129,18,0.1395,0
3619,4-5,68,8,0.1176,0
3619,6+,16,1,0.0625,0
3620,0-1,56,6,0.1071,0
3620,2-3,128,11,0.0859,0
3620,4-5,52,2,0.0385,0
3620,6+,29,5,0.1724,0
3621,0-1,70,9,0.1286,0
3621,2-3,90,7,0.0778,0
3621,4-5,49,7,0.1429,0
3621,6+,27,4,0.1481,0
3623,0-1,73,23,0.3151,0
3623,2-3,161,56,0.3478,0
3623,4-5,80,31,0.3875,0
3623,6+,27,15,0.5556,0
3627,0-1,71,13,0.1831,0
3627,2-3,158,18,0.1139,0
3627,4-5,75,13,0.1733,0
3627,6+,14,2,0.1429,0
3629,0-1,73,21,0.2877,0
3629,2-3,130,31,0.2385,0
3629,4-5,85,15,0.1765,0
3629,6+,24,2,0.0833,0
3630,0-1,49,1,0.0204,0
3630,2-3,77,3,0.039,0
3630,4-5,46,4,0.087,0
3630,6+,15,0,0.0,0
3631,0-1,39,0,0.0,0
3631,2-3,70,2,0.0286,0
3631,4-5,28,1,0.0357,0
3631,6+,10,1,0.1,0
3635,0-1,67,11,0.1642,0
3635,2-3,140,21,0.15,0
3635,4-5,71,4,0.0563,0
3635,6+,20,2,0.1,0
3637,0-1,67,5,0.0746,0
3637,2-3,126,7,0.0556,0
3637,4-5,53,4,0.0755,0
3637,6+,16,2,0.125,0
3641,0-1,98,27,0.2755,0
3641,2-3,174,37,0.2126,0
3641,4-5,68,17,0.25,0
3641,6+,20,1,0.05,0
3642,0-1,52,2,0.0385,0
3642,2-3,121,10,0.0826,0
3642,4-5,58,6,0.1034,0
3642,6+,9,1,0.1111,1
3643,0-1,59,6,0.1017,0
3643,2-3,147,20,0.1361,0
3643,4-5,76,12,0.1579,0
3643,6+,22,2,0.0909,0
3645,0-1,27,2,0.0741,0
3645,2-3,52,7,0.1346,0
3645,4-5,31,3,0.0968,0
3645,6+,20,2,0.1,0
3647,0-1,84,2,0.0238,0
3647,2-3,122,7,0.0574,0
3647,4-5,52,2,0.0385,0
3647,6+,26,1,0.0385,0
3652,0-1,80,5,0.0625,0
3652,2-3,107,6,0.0561,0
3652,4-5,37,3,0.0811,0
3652,6+,21,2,0.0952,0
3653,0-1,48,2,0.0417,0
3653,2-3,90,5,0.0556,0
3653,4-5,43,4,0.093,0
3653,6+,19,1,0.0526,0
3654,0-1,98,32,0.3265,0
3654,2-3,132,38,0.2879,0
3654,4-5,67,19,0.2836,0
3654,6+,28,5,0.1786,0
3655,0-1,81,12,0.1481,0
3655,2-3,167,24,0.1437,0
3655,4-5,59,5,0.0847,0
3655,6+,35,4,0.1143,0
3656,0-1,71,9,0.1268,0
3656,2-3,113,5,0.0442,0
3656,4-5,62,6,0.0968,0
3656,6+,10,2,0.2,0
3659,0-1,74,6,0.0811,0
3659,2-3,120,17,0.1417,0
3659,4-5,48,5,0.1042,0
3659,6+,27,4,0.1481,0
3660,0-1,70,1,0.0143,0
3660,2-3,121,5,0.0413,0
3660,4-5,46,3,0.0652,0
3660,6+,10,0,0.0,0
3661,0-1,91,9,0.0989,0
3661,2-3,154,17,0.1104,0
3661,4-5,65,13,0.2,0
