racer_id,motor_2rate_band,races,wins,win_rate,low_sample
3202,35-40,83,6,0.0723,0
3202,40-45,17,0,0.0,0
3202,45+,9,1,0.1111,1
3202,<30,108,8,0.0741,0
3207,30-35,51,0,0.0,0
3207,35-40,41,4,0.0976,0
3207,40-45,27,0,0.0,0
3207,45+,18,2,0.1111,0
3207,<30,59,2,0.0339,0
3211,30-35,72,2,0.0278,0
3211,35-40,48,2,0.0417,0
3211,40-45,35,2,0.0571,0
3211,45+,15,0,0.0,0
3211,<30,104,5,0.0481,0
3212,30-35,113,10,0.0885,0
3212,35-40,29,4,0.1379,0
3212,40-45,6,0,0.0,1
3212,45+,7,2,0.2857,1
3212,<30,98,6,0.0612,0
3224,30-35,44,3,0.0682,0
3224,35-40,94,5,0.0532,0
3224,40-45,33,2,0.0606,0
3224,45+,18,1,0.0556,0
3224,<30,89,7,0.0787,0
3226,30-35,54,5,0.0926,0
3226,35-40,53,5,0.0943,0
3226,40-45,86,8,0.093,0
3226,45+,8,0,0.0,1
3226,<30,85,5,0.0588,0
3232,30-35,43,11,0.2558,0
3232,35-40,59,6,0.1017,0
3232,40-45,9,1,0.1111,1
3232,45+,37,8,0.2162,0
3232,<30,105,19,0.181,0
3233,30-35,85,9,0.1059,0
3233,35-40,102,14,0.1373,0
3233,40-45,36,2,0.0556,0
3233,45+,18,0,0.0,0
3233,<30,42,8,0.1905,0
3246,30-35,48,3,0.0625,0
3246,35-40,16,2,0.125,0
3246,40-45,17,1,0.0588,0
3246,<30,45,3,0.0667,0
3251,30-35,92,11,0.1196,0
3251,35-40,93,18,0.1935,0
3251,40-45,30,2,0.0667,0
3251,<30,186,40,0.2151,0
3256,30-35,98,26,0.2653,0
3256,35-40,73,14,0.1918,0
3256,40-45,62,16,0.2581,0
3256,45+,39,18,0.4615,0
3256,<30,71,12,0.169,0
3257,30-35,68,24,0.3529,0
3257,35-40,39,22,0.5641,0
3257,40-45,37,12,0.3243,0
3257,45+,19,8,0.4211,0
3257,<30,98,27,0.2755,0
3265,30-35,123,26,0.2114,0
3265,35-40,51,9,0.1765,0
3265,40-45,20,7,0.35,0
3265,<30,86,21,0.2442,0
3268,30-35,87,7,0.0805,0
3268,35-40,55,8,0.1455,0
3268,40-45,26,2,0.0769,0
3268,45+,20,4,0.2,0
3268,<30,96,10,0.1042,0
3273,35-40,15,2,0.1333,0
3273,40-45,6,1,0.1667,1
3273,45+,9,1,0.1111,1
3273,<30,24,1,0.0417,0
3277,30-35,91,8,0.0879,0
3277,35-40,76,5,0.0658,0
3277,40-45,26,5,0.1923,0
3277,45+,26,1,0.0385,0
3277,<30,69,5,0.0725,0
3282,30-35,59,4,0.0678,0
3282,35-40,36,3,0.0833,0
3282,40-45,63,4,0.0635,0
3282,45+,38,1,0.0263,0
3282,<30,84,5,0.0595,0
3284,30-35,50,6,0.12,0
3284,35-40,66,11,0.1667,0
3284,40-45,20,6,0.3,0
3284,45+,19,3,0.1579,0
3284,<30,118,11,0.0932,0
3286,30-35,32,2,0.0625,0
3286,35-40,51,5,0.098,0
3286,40-45,34,3,0.0882,0
3286,45+,17,3,0.1765,0
3286,<30,68,10,0.1471,0
3289,30-35,51,3,0.0588,0
3289,35-40,6,0,0.0,1
3289,45+,28,5,0.1786,0
3289,<30,71,3,0.0423,0
3293,30-35,80,3,0.0375,0
3293,35-40,90,1,0.0111,0
3293,40-45,40,0,0.0,0
3293,45+,9,0,0.0,1
3293,<30,47,1,0.0213,0
3294,30-35,47,2,0.0426,0
3294,35-40,83,12,0.1446,0
3294,40-45,51,3,0.0588,0
3294,45+,25,1,0.04,0
3294,<30,39,3,0.0769,0
3297,30-35,66,6,0.0909,0
3297,35-40,43,2,0.0465,0
3297,40-45,29,4,0.1379,0
3297,45+,23,2,0.087,0
3297,<30,105,9,0.0857,0
3300,30-35,94,17,0.1809,0
3300,35-40,47,16,0.3404,0
3300,40-45,29,4,0.1379,0
3300,45+,29,6,0.2069,0
3300,<30,135,29,0.2148,0
3302,30-35,81,9,0.1111,0
3302,35-40,35,6,0.1714,0
3302,40-45,29,7,0.2414,0
3302,45+,29,10,0.3448,0
3302,<30,33,3,0.0909,0
3303,30-35,99,12,0.1212,0
3303,35-40,24,5,0.2083,0
3303,40-45,9,0,0.0,1
3303,45+,40,4,0.1,0
3303,<30,168,9,0.0536,0
3304,30-35,111,28,0.2523,0
3304,35-40,116,27,0.2328,0
3304,40-45,40,6,0.15,0
3304,45+,36,7,0.1944,0
3304,<30,65,12,0.1846,0
3305,30-35,49,4,0.0816,0
3305,35-40,66,6,0.0909,0
3305,40-45,52,5,0.0962,0
3305,45+,26,5,0.1923,0
3305,<30,71,7,0.0986,0
3306,30-35,95,3,0.0316,0
3306,35-40,13,1,0.0769,0
3306,40-45,23,1,0.0435,0
3306,45+,39,5,0.1282,0
3306,<30,96,7,0.0729,0
3313,30-35,81,9,0.1111,0
3313,35-40,50,4,0.08,0
3313,40-45,27,2,0.0741,0
3313,45+,25,3,0.12,0
3313,<30,97,7,0.0722,0
3315,30-35,54,5,0.0926,0
3315,35-40,70,3,0.0429,0
3315,40-45,35,3,0.0857,0
3315,45+,24,2,0.0833,0
3315,<30,43,1,0.0233,0
3319,30-35,66,11,0.1667,0
3319,35-40,81,8,0.0988,0
3319,40-45,16,2,0.125,0
3319,45+,10,1,0.1,0
3319,<30,117,13,0.1111,0
3327,30-35,64,15,0.2344,0
3327,35-40,94,20,0.2128,0
3327,40-45,65,11,0.1692,0
3327,45+,17,6,0.3529,0
3327,<30,80,14,0.175,0
3333,30-35,124,30,0.2419,0
3333,35-40,64,14,0.2188,0
3333,40-45,32,7,0.2188,0
3333,45+,29,7,0.2414,0
3333,<30,123,26,0.2114,0
3334,30-35,121,16,0.1322,0
3334,35-40,46,4,0.087,0
3334,40-45,46,8,0.1739,0
3334,45+,47,13,0.2766,0
3334,<30,88,15,0.1705,0
3339,30-35,90,3,0.0333,0
3339,35-40,40,1,0.025,0
3339,40-45,41,8,0.1951,0
3339,<30,89,11,0.1236,0
3340,30-35,94,8,0.0851,0
3340,35-40,64,10,0.1562,0
3340,40-45,20,2,0.1,0
3340,45+,37,6,0.1622,0
3340,<30,90,7,0.0778,0
3346,30-35,36,4,0.1111,0
3346,35-40,30,1,0.0333,0
3346,40-45,25,2,0.08,0
3346,<30,30,2,0.0667,0
3349,30-35,55,10,0.1818,0
3349,35-40,52,14,0.2692,0
3349,40-45,43,16,0.3721,0
3349,45+,12,2,0.1667,0
3349,<30,154,31,0.2013,0
3350,30-35,88,15,0.1705,0
3350,35-40,49,5,0.102,0
3350,40-45,42,14,0.3333,0
3350,45+,41,8,0.1951,0
3350,<30,71,8,0.1127,0
3352,30-35,56,1,0.0179,0
3352,35-40,50,0,0.0,0
3352,40-45,22,2,0.0909,0
3352,45+,50,0,0.0,0
3352,<30,111,3,0.027,0
3353,30-35,42,2,0.0476,0
3353,35-40,67,4,0.0597,0
3353,40-45,19,1,0.0526,0
3353,45+,8,0,0.0,1
3353,<30,31,3,0.0968,0
3355,30-35,15,0,0.0,0
3355,35-40,17,0,0.0,0
3355,40-45,9,1,0.1111,1
3355,45+,18,0,0.0,0
3355,<30,53,1,0.0189,0
3357,30-35,97,2,0.0206,0
3357,35-40,34,2,0.0588,0
3357,40-45,9,1,0.1111,1
3357,45+,15,1,0.0667,0
3357,<30,112,7,0.0625,0
3361,30-35,62,6,0.0968,0
3361,35-40,73,7,0.0959,0
3361,40-45,9,0,0.0,1
3361,45+,23,1,0.0435,0
3361,<30,85,4,0.0471,0
3362,30-35,98,19,0.1939,0
3362,35-40,28,4,0.1429,0
3362,40-45,56,8,0.1429,0
3362,45+,25,6,0.24,0
3362,<30,103,11,0.1068,0
3370,30-35,36,1,0.0278,0
3370,35-40,32,3,0.0938,0
3370,40-45,13,1,0.0769,0
3370,45+,58,5,0.0862,0
3370,<30,105,6,0.0571,0
3372,30-35,32,1,0.0312,0
3372,35-40,47,0,0.0,0
3372,40-45,47,1,0.0213,0
3372,45+,26,1,0.0385,0
3372,<30,46,3,0.0652,0
3377,30-35,45,2,0.0444,0
3377,35-40,46,2,0.0435,0
3377,40-45,45,4,0.0889,0
3377,45+,16,1,0.0625,0
3377,<30,90,4,0.0444,0
3381,30-35,56,13,0.2321,0
3381,35-40,21,4,0.1905,0
3381,40-45,56,7,0.125,0
3381,45+,29,4,0.1379,0
3381,<30,144,14,0.0972,0
3385,30-35,81,11,0.1358,0
3385,35-40,51,10,0.1961,0
3385,40-45,55,11,0.2,0
3385,45+,9,4,0.4444,1
3385,<30,108,13,0.1204,0
3388,30-35,99,23,0.2323,0
3388,35-40,29,9,0.3103,0
3388,40-45,26,6,0.2308,0
3388,45+,30,9,0.3,0
3388,<30,91,32,0.3516,0
3391,35-40,9,0,0.0,1
3391,45+,6,0,0.0,1
3391,<30,12,0,0.0,0
3392,30-35,68,6,0.0882,0
3392,35-40,51,2,0.0392,0
3392,40-45,44,2,0.0455,0
3392,45+,28,2,0.0714,0
3392,<30,88,5,0.0568,0
3401,30-35,18,1,0.0556,0
3401,35-40,87,10,0.1149,0
3401,40-45,33,5,0.1515,0
3401,45+,18,1,0.0556,0
3401,<30,114,12,0.1053,0
3406,30-35,102,21,0.2059,0
3406,35-40,63,10,0.1587,0
3406,40-45,30,5,0.1667,0
3406,45+,47,6,0.1277,0
3406,<30,98,8,0.0816,0
3411,30-35,74,1,0.0135,0
3411,35-40,42,0,0.0,0
3411,40-45,42,2,0.0476,0
3411,45+,25,2,0.08,0
3411,<30,73,7,0.0959,0
3412,30-35,118,31,0.2627,0
3412,35-40,85,21,0.2471,0
3412,40-45,31,8,0.2581,0
3412,45+,11,2,0.1818,0
3412,<30,124,27,0.2177,0
3414,30-35,37,5,0.1351,0
3414,35-40,5,0,0.0,1
3414,40-45,6,1,0.1667,1
3414,45+,14,2,0.1429,0
3414,<30,18,1,0.0556,0
3415,30-35,86,21,0.2442,0
3415,35-40,110,21,0.1909,0
3415,40-45,46,13,0.2826,0
3415,45+,42,9,0.2143,0
3415,<30,62,14,0.2258,0
3419,30-35,18,0,0.0,0
3419,35-40,14,0,0.0,0
3419,40-45,5,0,0.0,1
3419,<30,47,2,0.0426,0
3422,30-35,73,21,0.2877,0
3422,35-40,105,27,0.2571,0
3422,40-45,62,25,0.4032,0
3422,45+,19,5,0.2632,0
3422,<30,87,20,0.2299,0
3430,30-35,55,10,0.1818,0
3430,35-40,94,11,0.117,0
3430,40-45,18,4,0.2222,0
3430,45+,38,2,0.0526,0
3430,<30,98,7,0.0714,0
3432,30-35,78,3,0.0385,0
3432,35-40,74,8,0.1081,0
3432,40-45,26,1,0.0385,0
3432,45+,37,3,0.0811,0
3432,<30,56,5,0.0893,0
3434,30-35,33,1,0.0303,0
3434,35-40,66,5,0.0758,0
3434,40-45,53,11,0.2075,0
3434,45+,35,1,0.0286,0
3434,<30,115,12,0.1043,0
3435,30-35,59,14,0.2373,0
3435,35-40,41,14,0.3415,0
3435,40-45,38,10,0.2632,0
3435,45+,32,6,0.1875,0
3435,<30,172,30,0.1744,0
3436,30-35,92,21,0.2283,0
3436,35-40,74,14,0.1892,0
3436,40-45,27,4,0.1481,0
3436,45+,16,5,0.3125,0
3436,<30,71,9,0.1268,0
3439,30-35,65,18,0.2769,0
3439,35-40,160,36,0.225,0
3439,40-45,8,2,0.25,1
3439,45+,15,3,0.2,0
3439,<30,84,13,0.1548,0
3441,30-35,99,12,0.1212,0
3441,35-40,71,4,0.0563,0
3441,40-45,8,0,0.0,1
3441,45+,16,0,0.0,0
3441,<30,99,6,0.0606,0
3442,30-35,38,1,0.0263,0
3442,35-40,46,1,0.0217,0
3442,40-45,61,14,0.2295,0
3442,45+,27,3,0.1111,0
3442,<30,109,4,0.0367,0
3444,30-35,10,2,0.2,0
3444,35-40,44,4,0.0909,0
3444,40-45,20,0,0.0,0
3444,45+,46,2,0.0435,0
3444,<30,57,5,0.0877,0
3445,30-35,72,5,0.0694,0
3445,35-40,44,4,0.0909,0
3445,40-45,25,2,0.08,0
3445,<30,123,15,0.122,0
3448,30-35,71,4,0.0563,0
3448,35-40,42,2,0.0476,0
3448,40-45,29,3,0.1034,0
3448,45+,8,0,0.0,1
3448,<30,73,7,0.0959,0
3454,30-35,45,5,0.1111,0
3454,35-40,83,8,0.0964,0
3454,40-45,18,1,0.0556,0
3454,45+,16,3,0.1875,0
3454,<30,109,11,0.1009,0
3455,30-35,108,9,0.0833,0
3455,35-40,60,11,0.1833,0
3455,40-45,19,3,0.1579,0
3455,45+,10,1,0.1,0
3455,<30,97,14,0.1443,0
3458,30-35,72,6,0.0833,0
3458,35-40,40,1,0.025,0
3458,40-45,21,5,0.2381,0
3458,<30,119,8,0.0672,0
3459,30-35,48,0,0.0,0
3459,35-40,51,5,0.098,0
3459,40-45,58,2,0.0345,0
3459,45+,18,0,0.0,0
3459,<30,83,7,0.0843,0
3461,30-35,59,3,0.0508,0
3461,35-40,35,2,0.0571,0
3461,40-45,16,2,0.125,0
3461,45+,16,1,0.0625,0
3461,<30,58,4,0.069,0
3462,30-35,8,1,0.125,1
3462,35-40,8,0,0.0,1
3462,40-45,15,2,0.1333,0
3462,<30,43,7,0.1628,0
3463,30-35,84,4,0.0476,0
3463,35-40,40,5,0.125,0
3463,40-45,33,1,0.0303,0
3463,45+,21,3,0.1429,0
3463,<30,106,9,0.0849,0
3467,30-35,76,5,0.0658,0
3467,35-40,41,4,0.0976,0
3467,40-45,64,2,0.0312,0
3467,45+,15,0,0.0,0
3467,<30,44,2,0.0455,0
3470,30-35,65,8,0.1231,0
3470,35-40,44,9,0.2045,0
3470,40-45,23,2,0.087,0
3470,45+,48,10,0.2083,0
3470,<30,70,8,0.1143,0
3471,30-35,47,2,0.0426,0
3471,35-40,79,6,0.0759,0
3471,40-45,17,1,0.0588,0
3471,45+,30,0,0.0,0
3471,<30,85,8,0.0941,0
3473,30-35,74,22,0.2973,0
3473,35-40,93,26,0.2796,0
3473,40-45,90,29,0.3222,0
3473,45+,30,11,0.3667,0
3473,<30,88,21,0.2386,0
3474,30-35,143,13,0.0909,0
3474,35-40,20,1,0.05,0
3474,45+,30,4,0.1333,0
3474,<30,114,7,0.0614,0
3475,30-35,58,11,0.1897,0
3475,35-40,46,9,0.1957,0
3475,40-45,73,13,0.1781,0
3475,45+,18,6,0.3333,0
3475,<30,84,9,0.1071,0
3477,30-35,90,8,0.0889,0
3477,35-40,51,1,0.0196,0
3477,40-45,19,1,0.0526,0
3477,45+,35,1,0.0286,0
3477,<30,78,1,0.0128,0
3478,30-35,92,12,0.1304,0
3478,35-40,87,14,0.1609,0
3478,40-45,16,2,0.125,0
3478,45+,25,4,0.16,0
3478,<30,88,10,0.1136,0
3482,30-35,69,11,0.1594,0
3482,35-40,90,9,0.1,0
3482,40-45,65,9,0.1385,0
3482,45+,29,5,0.1724,0
3482,<30,119,13,0.1092,0
3484,30-35,117,25,0.2137,0
3484,35-40,48,10,0.2083,0
3484,40-45,29,7,0.2414,0
3484,45+,21,2,0.0952,0
3484,<30,85,19,0.2235,0
3489,30-35,105,22,0.2095,0
3489,35-40,53,5,0.0943,0
3489,40-45,60,13,0.2167,0
3489,45+,19,4,0.2105,0
3489,<30,170,31,0.1824,0
3497,30-35,67,14,0.209,0
3497,35-40,77,14,0.1818,0
3497,40-45,31,5,0.1613,0
3497,45+,31,4,0.129,0
3497,<30,55,5,0.0909,0
3499,30-35,110,24,0.2182,0
3499,35-40,71,22,0.3099,0
3499,40-45,9,2,0.2222,1
3499,<30,147,31,0.2109,0
3502,30-35,132,15,0.1136,0
3502,35-40,70,12,0.1714,0
3502,40-45,24,3,0.125,0
3502,45+,37,6,0.1622,0
3502,<30,60,10,0.1667,0
3503,30-35,57,7,0.1228,0
3503,35-40,52,2,0.0385,0
3503,40-45,31,2,0.0645,0
3503,45+,28,6,0.2143,0
3503,<30,122,4,0.0328,0
3505,30-35,80,14,0.175,0
3505,35-40,59,10,0.1695,0
3505,40-45,54,7,0.1296,0
3505,45+,47,6,0.1277,0
3505,<30,93,14,0.1505,0
3507,30-35,71,5,0.0704,0
3507,35-40,26,4,0.1538,0
3507,40-45,28,1,0.0357,0
3507,45+,34,2,0.0588,0
3507,<30,73,3,0.0411,0
3508,30-35,90,14,0.1556,0
3508,35-40,42,3,0.0714,0
3508,40-45,37,5,0.1351,0
3508,45+,10,3,0.3,0
3508,<30,125,16,0.128,0
3509,30-35,62,2,0.0323,0
3509,35-40,42,2,0.0476,0
3509,40-45,27,1,0.037,0
3509,45+,9,0,0.0,1
3509,<30,83,2,0.0241,0
3514,30-35,81,18,0.2222,0
3514,35-40,58,15,0.2586,0
3514,40-45,54,13,0.2407,0
3514,45+,26,6,0.2308,0
3514,<30,105,22,0.2095,0
3516,30-35,66,6,0.0909,0
3516,35-40,90,9,0.1,0
3516,40-45,47,4,0.0851,0
3516,45+,8,0,0.0,1
3516,<30,56,4,0.0714,0
3517,30-35,81,11,0.1358,0
3517,35-40,60,11,0.1833,0
3517,40-45,42,8,0.1905,0
3517,45+,24,6,0.25,0
3517,<30,100,18,0.18,0
3518,30-35,65,3,0.0462,0
3518,35-40,73,7,0.0959,0
3518,40-45,17,0,0.0,0
3518,45+,10,2,0.2,0
3518,<30,63,0,0.0,0
3519,30-35,48,3,0.0625,0
3519,35-40,63,6,0.0952,0
3519,40-45,52,5,0.0962,0
3519,45+,25,2,0.08,0
3519,<30,85,4,0.0471,0
3523,30-35,75,4,0.0533,0
3523,35-40,65,1,0.0154,0
3523,40-45,8,1,0.125,1
3523,45+,16,1,0.0625,0
3523,<30,72,5,0.0694,0
3527,30-35,95,11,0.1158,0
3527,35-40,66,8,0.1212,0
3527,40-45,34,7,0.2059,0
3527,45+,35,4,0.1143,0
3527,<30,94,12,0.1277,0
3528,30-35,85,7,0.0824,0
3528,35-40,55,7,0.1273,0
3528,40-45,25,1,0.04,0
3528,45+,18,1,0.0556,0
3528,<30,58,3,0.0517,0
3532,30-35,33,9,0.2727,0
3532,35-40,44,11,0.25,0
3532,40-45,26,4,0.1538,0
3532,45+,48,17,0.3542,0
3532,<30,89,23,0.2584,0
3535,30-35,71,8,0.1127,0
3535,35-40,51,6,0.1176,0
3535,40-45,22,2,0.0909,0
3535,45+,38,3,0.0789,0
3535,<30,82,6,0.0732,0
3538,30-35,64,5,0.0781,0
3538,35-40,41,2,0.0488,0
3538,40-45,6,0,0.0,1
3538,45+,11,1,0.0909,0
3538,<30,61,4,0.0656,0
3539,30-35,84,8,0.0952,0
3539,35-40,71,7,0.0986,0
3539,40-45,10,1,0.1,0
3539,45+,21,3,0.1429,0
3539,<30,127,6,0.0472,0
3541,30-35,75,7,0.0933,0
3541,35-40,90,17,0.1889,0
3541,40-45,30,9,0.3,0
3541,45+,18,7,0.3889,0
3541,<30,132,31,0.2348,0
3542,30-35,68,5,0.0735,0
3542,35-40,66,6,0.0909,0
3542,40-45,43,3,0.0698,0
3542,45+,25,2,0.08,0
3542,<30,77,7,0.0909,0
3543,30-35,68,11,0.1618,0
3543,35-40,57,10,0.1754,0
3543,40-45,38,5,0.1316,0
3543,45+,25,3,0.12,0
3543,<30,45,6,0.1333,0
3544,30-35,49,2,0.0408,0
3544,35-40,43,3,0.0698,0
3544,40-45,10,1,0.1,0
3544,45+,26,4,0.1538,0
3544,<30,81,1,0.0123,0
3546,30-35,26,2,0.0769,0
3546,35-40,83,5,0.0602,0
3546,40-45,36,6,0.1667,0
3546,45+,28,1,0.0357,0
3546,<30,101,6,0.0594,0
3548,30-35,99,15,0.1515,0
3548,35-40,101,20,0.198,0
3548,40-45,55,9,0.1636,0
3548,45+,46,9,0.1957,0
3548,<30,69,13,0.1884,0
3550,30-35,91,23,0.2527,0
3550,35-40,36,3,0.0833,0
3550,40-45,39,11,0.2821,0
3550,45+,17,4,0.2353,0
3550,<30,158,29,0.1835,0
3551,30-35,64,1,0.0156,0
3551,35-40,33,3,0.0909,0
3551,40-45,9,0,0.0,1
3551,45+,16,2,0.125,0
3551,<30,95,7,0.0737,0
3553,30-35,10,2,0.2,0
3554,30-35,114,34,0.2982,0
3554,35-40,115,29,0.2522,0
3554,40-45,11,4,0.3636,0
3554,45+,31,12,0.3871,0
3554,<30,149,34,0.2282,0
3556,30-35,81,26,0.321,0
3556,35-40,55,20,0.3636,0
3556,40-45,63,17,0.2698,0
3556,45+,43,18,0.4186,0
3556,<30,122,29,0.2377,0
3557,30-35,94,20,0.2128,0
3557,35-40,65,22,0.3385,0
3557,40-45,47,9,0.1915,0
3557,45+,68,19,0.2794,0
3557,<30,168,29,0.1726,0
3558,30-35,80,6,0.075,0
3558,35-40,23,5,0.2174,0
3558,40-45,37,7,0.1892,0
3558,45+,37,5,0.1351,0
3558,<30,93,14,0.1505,0
3562,30-35,109,26,0.2385,0
3562,35-40,79,18,0.2278,0
3562,40-45,55,12,0.2182,0
3562,45+,28,4,0.1429,0
3562,<30,95,18,0.1895,0
3563,30-35,82,17,0.2073,0
3563,35-40,86,13,0.1512,0
3563,40-45,21,4,0.1905,0
3563,45+,10,3,0.3,0
3563,<30,128,13,0.1016,0
3564,30-35,105,9,0.0857,0
3564,35-40,48,11,0.2292,0
3564,40-45,60,7,0.1167,0
3564,45+,25,2,0.08,0
3564,<30,63,7,0.1111,0
3566,30-35,57,7,0.1228,0
3566,35-40,76,8,0.1053,0
3566,40-45,47,6,0.1277,0
3566,45+,33,3,0.0909,0
3566,<30,81,9,0.1111,0
3567,30-35,68,1,0.0147,0
3567,35-40,32,3,0.0938,0
3567,40-45,17,0,0.0,0
3567,45+,9,3,0.3333,1
3567,<30,82,8,0.0976,0
3568,30-35,108,17,0.1574,0
3568,35-40,19,2,0.1053,0
3568,40-45,34,2,0.0588,0
3568,45+,30,1,0.0333,0
3568,<30,87,8,0.092,0
3569,30-35,72,4,0.0556,0
3569,35-40,60,5,0.0833,0
3569,40-45,30,3,0.1,0
3569,45+,23,1,0.0435,0
3569,<30,113,6,0.0531,0
3572,30-35,103,11,0.1068,0
3572,35-40,66,11,0.1667,0
3572,40-45,36,3,0.0833,0
3572,45+,27,6,0.2222,0
3572,<30,104,16,0.1538,0
3574,30-35,76,20,0.2632,0
3574,35-40,62,18,0.2903,0
3574,40-45,40,11,0.275,0
3574,45+,7,2,0.2857,1
3574,<30,136,31,0.2279,0
3576,30-35,73,18,0.2466,0
3576,35-40,102,22,0.2157,0
3576,40-45,27,5,0.1852,0
3576,45+,20,5,0.25,0
3576,<30,106,15,0.1415,0
3577,30-35,63,4,0.0635,0
3577,35-40,55,6,0.1091,0
3577,40-45,18,1,0.0556,0
3577,45+,38,10,0.2632,0
3577,<30,67,8,0.1194,0
3578,30-35,73,3,0.0411,0
3578,35-40,24,1,0.0417,0
3578,40-45,27,4,0.1481,0
3578,45+,40,3,0.075,0
3578,<30,35,3,0.0857,0
3579,30-35,46,8,0.1739,0
3579,35-40,29,3,0.1034,0
3579,40-45,20,3,0.15,0
3579,<30,122,13,0.1066,0
3580,30-35,65,3,0.0462,0
3580,35-40,38,0,0.0,0
3580,40-45,61,7,0.1148,0
3580,45+,26,2,0.0769,0
3580,<30,88,7,0.0795,0
3581,30-35,48,5,0.1042,0
3581,35-40,83,7,0.0843,0
3581,40-45,27,4,0.1481,0
3581,45+,35,2,0.0571,0
3581,<30,108,13,0.1204,0
3582,30-35,46,13,0.2826,0
3582,35-40,117,35,0.2991,0
3582,40-45,32,7,0.2188,0
3582,45+,42,10,0.2381,0
3582,<30,113,28,0.2478,0
3583,30-35,83,0,0.0,0
3583,35-40,39,3,0.0769,0
3583,40-45,9,1,0.1111,1
3583,45+,22,2,0.0909,0
3583,<30,82,1,0.0122,0
3584,30-35,63,9,0.1429,0
3584,35-40,55,3,0.0545,0
3584,40-45,40,5,0.125,0
3584,45+,32,2,0.0625,0
3584,<30,111,11,0.0991,0
3587,30-35,61,5,0.082,0
3587,35-40,65,4,0.0615,0
3587,40-45,29,0,0.0,0
3587,45+,49,5,0.102,0
3587,<30,81,5,0.0617,0
3589,30-35,79,9,0.1139,0
3589,35-40,27,3,0.1111,0
3589,40-45,12,0,0.0,0
3589,45+,23,4,0.1739,0
3589,<30,101,9,0.0891,0
3590,30-35,70,22,0.3143,0
3590,35-40,99,25,0.2525,0
3590,40-45,43,13,0.3023,0
3590,45+,59,17,0.2881,0
3590,<30,99,24,0.2424,0
3591,30-35,55,3,0.0545,0
3591,35-40,21,2,0.0952,0
3591,40-45,13,1,0.0769,0
3591,45+,32,1,0.0312,0
3591,<30,60,0,0.0,0
3596,30-35,61,4,0.0656,0
3596,35-40,49,2,0.0408,0
3596,40-45,32,3,0.0938,0
3596,45+,18,3,0.1667,0
3596,<30,75,5,0.0667,0
3600,30-35,8,0,0.0,1
