日付,場コード,レース番号,買い目
20260720,12,12,1-3-4
20260720,12,12,1-4-2
20260720,12,5,1-2-3
20260720,12,5,1-3-2
20260720,12,5,1-3-4
20260720,12,5,1-3-5
20260720,12,5,1-4-3
20260720,12,7,1-2-3
20260720,12,7,1-3-2
20260720,12,7,1-3-4
20260720,12,7,1-3-5
20260720,12,7,1-3-6
20260720,12,7,1-4-3
20260720,12,7,1-6-3
20260720,12,8,1-2-4
20260720,12,8,1-3-2
20260720,12,8,1-3-4
20260720,12,8,1-4-2
20260720,12,8,1-4-3
20260720,15,1,1-2-3
20260720,15,1,1-2-4
20260720,15,1,1-2-6
20260720,15,1,1-4-2
20260720,15,1,1-6-2
20260720,15,10,1-2-3
20260720,15,10,1-3-2
20260720,15,10,1-3-4
20260720,15,10,1-3-5
20260720,15,10,1-4-3
20260720,16,8,1-2-3
20260720,16,8,1-3-2
20260720,16,8,1-3-4
20260720,16,8,1-3-5
20260720,18,1,1-2-3
20260720,18,1,1-3-2
20260720,18,1,1-3-4
20260720,18,1,1-4-3
20260720,18,11,1-2-3
20260720,18,11,1-2-4
20260720,18,11,1-3-2
20260720,18,11,1-4-2
20260720,18,11,2-1-4
20260720,18,2,1-3-2
20260720,18,2,1-3-4
20260720,18,2,1-3-5
20260720,18,2,1-4-3
20260720,18,2,1-5-3
20260720,18,4,1-2-3
20260720,18,4,1-2-4
20260720,18,4,1-2-5
20260720,18,4,1-3-2
20260720,18,4,1-4-2
20260720,18,6,1-2-3
20260720,18,6,1-3-2
20260720,18,6,1-3-4
20260720,18,6,1-3-6
20260720,18,6,1-4-3
20260720,18,9,1-2-4
20260720,18,9,1-4-2
20260720,18,9,1-4-3
20260720,18,9,1-4-6
20260720,18,9,4-1-2
20260720,19,11,1-2-4
20260720,19,11,1-2-5
20260720,19,11,1-4-2
20260720,19,11,1-4-5
20260720,19,11,1-5-2
20260720,19,4,1-2-3
20260720,19,4,1-2-4
20260720,19,4,1-2-6
20260720,19,4,1-3-2
20260720,19,4,1-6-2
20260720,19,5,1-3-2
20260720,19,5,1-3-4
20260720,19,5,1-3-6
20260720,19,5,1-4-3
20260720,19,5,1-6-3
20260720,19,8,1-2-4
20260720,19,8,1-3-4
20260720,19,8,1-4-2
20260720,19,8,1-4-3
20260720,19,8,1-4-6
20260720,20,12,1-2-3
20260720,20,12,1-3-2
20260720,20,12,1-3-4
20260720,20,12,1-3-5
20260720,20,12,1-4-3
20260720,20,12,1-5-3
20260720,20,12,1-5-4
20260720,20,4,1-3-2
20260720,20,4,1-3-4
20260720,20,4,1-3-6
20260720,20,4,1-6-3
20260720,20,4,3-1-6
20260720,20,7,1-2-3
20260720,20,7,1-3-2
20260720,20,7,1-3-4
20260720,20,7,1-3-5
20260720,20,7,3-1-2
20260720,20,8,1-2-3
20260720,20,8,1-3-2
20260720,20,8,1-3-4
20260720,20,8,2-1-3
20260720,20,8,3-1-2
20260721,05,1,1-2-3
20260721,05,1,1-2-4
20260721,05,1,1-2-5
20260721,05,1,1-4-2
20260721,05,1,1-5-2
20260721,05,9,1-2-3
20260721,05,9,1-3-2
20260721,05,9,1-3-4
20260721,05,9,2-1-3
20260721,05,9,3-1-2
20260721,10,1,1-2-3
20260721,10,1,1-2-4
20260721,10,1,1-3-2
20260721,10,1,1-3-4
20260721,10,1,1-4-3
20260721,10,12,1-2-3
20260721,10,12,1-2-4
20260721,10,12,1-2-5
20260721,10,12,1-3-2
20260721,10,12,1-4-2
20260721,10,2,1-2-3
20260721,10,2,1-2-5
20260721,10,2,1-3-2
20260721,10,2,1-5-2
20260721,10,2,2-1-3
20260721,11,1,1-2-3
20260721,11,1,1-2-4
20260721,11,1,1-3-2
20260721,11,1,2-1-3
20260721,11,1,3-1-2
20260721,11,4,1-2-3
20260721,11,4,1-2-4
20260721,11,4,1-2-5
20260721,11,4,1-4-2
20260721,11,4,1-5-2
20260721,11,5,1-2-3
20260721,11,5,1-2-4
20260721,11,5,1-3-2
20260721,11,5,1-3-4
20260721,11,5,1-4-3
20260721,11,6,1-2-3
20260721,11,6,1-2-4
20260721,11,6,1-2-5
20260721,11,6,1-4-2
20260721,11,6,1-5-2
20260721,11,7,1-2-3
20260721,11,7,1-2-4
20260721,11,7,1-3-2
20260721,11,7,1-3-4
20260721,11,7,1-3-5
20260721,11,7,1-4-2
20260721,11,7,1-4-3
20260721,12,2,1-3-5
20260721,12,2,1-5-2
20260721,12,2,1-5-3
20260721,12,2,3-1-5
20260721,12,2,5-1-3
20260721,12,5,1-2-3
20260721,12,5,1-2-4
20260721,12,5,1-3-2
20260721,12,5,1-3-4
20260721,12,5,1-3-6
20260721,12,5,1-4-3
20260721,12,5,1-6-3
20260721,15,1,1-2-3
20260721,15,1,1-2-4
20260721,15,1,1-3-2
20260721,15,1,1-3-4
20260721,15,1,1-3-6
20260721,15,1,1-4-2
20260721,15,1,1-4-3
20260721,15,8,1-2-3
20260721,15,8,1-2-4
20260721,15,8,1-3-2
20260721,15,8,1-3-4
20260721,15,8,1-4-2
20260721,16,11,1-2-3
20260721,16,11,1-2-4
20260721,16,11,1-2-5
20260721,16,11,1-3-2
20260721,16,11,1-4-2
20260721,16,8,1-2-3
20260721,16,8,1-2-4
20260721,16,8,1-3-2
20260721,16,8,1-4-2
20260721,19,10,1-2-3
20260721,19,10,1-2-4
20260721,19,10,1-2-5
20260721,19,10,1-2-6
20260721,19,10,2-1-3
20260721,19,11,1-2-3
20260721,19,11,1-2-4
20260721,19,11,1-2-5
20260721,19,11,1-3-2
20260721,19,11,2-1-3
20260721,19,5,1-3-2
20260721,19,5,1-3-4
20260721,19,5,1-3-5
20260721,19,5,1-3-6
20260721,19,5,3-1-2
20260721,19,8,1-2-4
20260721,19,8,1-3-2
20260721,19,8,1-3-4
20260721,19,8,1-4-2
20260721,19,8,1-4-3
20260721,20,1,1-2-3
20260721,20,1,1-2-4
20260721,20,1,1-2-5
20260721,20,1,1-3-2
20260721,20,1,1-4-2
20260721,20,3,1-2-3
20260721,20,3,1-2-4
20260721,20,3,1-3-4
20260721,20,3,1-4-2
20260721,20,3,1-4-3
20260721,20,4,1-2-3
20260721,20,4,1-3-2
20260721,20,4,1-3-4
20260721,20,4,1-3-6
20260721,20,4,3-1-2
20260721,20,6,1-2-3
20260721,20,6,1-2-4
20260721,20,6,1-2-5
20260721,20,6,1-4-2
20260721,20,6,1-4-3
20260721,20,7,1-2-3
20260721,20,7,1-2-5
20260721,20,7,1-3-2
20260721,20,7,1-3-4
20260721,20,7,1-3-5
20260721,20,7,1-3-6
20260721,20,7,1-4-3
20260721,20,7,1-5-3
20260721,20,8,1-2-3
20260721,20,8,1-2-5
20260721,20,8,1-3-2
20260721,20,8,2-1-3
20260721,20,8,3-1-2
20260721,20,9,1-2-3
20260721,20,9,1-3-2
20260721,20,9,1-3-4
20260721,20,9,1-4-3
20260721,20,9,3-1-2
20260721,23,1,1-2-3
20260721,23,1,1-2-4
20260721,23,1,1-2-5
20260721,23,1,1-4-2
20260721,23,5,1-3-2
20260721,23,5,1-3-5
20260721,23,5,1-5-3
20260722,05,1,1-2-3
20260722,05,1,1-3-2
20260722,05,1,1-3-5
20260722,05,1,2-1-3
20260722,05,1,3-1-2
20260722,05,11,1-2-3
20260722,05,11,1-3-2
20260722,05,11,1-3-4
20260722,05,11,1-4-3
20260722,05,11,3-1-4
20260722,05,3,1-2-3
20260722,05,3,1-3-2
20260722,05,3,1-3-4
20260722,05,3,1-3-6
20260722,05,3,1-4-3
20260722,05,5,1-2-3
20260722,05,5,1-2-6
20260722,05,5,1-3-2
20260722,05,5,1-6-2
20260722,05,6,1-2-3
20260722,05,6,1-2-4
20260722,05,6,1-2-6
20260722,05,6,1-4-2
20260722,05,6,1-6-2
20260722,08,1,1-2-3
20260722,08,1,1-2-4
20260722,08,1,1-2-5
20260722,08,1,1-3-2
20260722,08,1,1-4-2
20260722,08,1,1-4-5
20260722,08,1,1-5-2
20260722,08,1,1-5-4
20260722,08,3,1-2-4
20260722,08,3,1-3-4
20260722,08,3,1-4-2
20260722,08,3,1-4-3
20260722,08,3,1-4-6
20260722,08,4,1-2-3
20260722,08,4,1-2-4
20260722,08,4,1-2-6
20260722,08,4,1-3-2
20260722,08,4,1-4-2
20260722,08,6,1-2-3
20260722,08,6,1-2-4
20260722,08,6,1-2-5
20260722,08,6,1-2-6
20260722,08,6,1-3-2
20260722,08,6,1-5-2
20260722,08,6,1-6-2
20260722,10,1,1-2-3
20260722,10,1,1-3-2
20260722,10,1,1-3-5
20260722,10,1,1-5-3
20260722,10,12,1-2-4
20260722,10,12,1-3-4
20260722,10,12,1-4-2
20260722,10,12,1-4-3
20260722,10,2,1-2-3
20260722,10,2,1-2-4
20260722,10,2,1-3-2
20260722,10,2,1-4-2
20260722,10,2,2-1-3
20260722,10,4,1-3-2
20260722,10,4,1-3-4
20260722,10,4,1-3-5
20260722,10,4,1-4-3
20260722,10,4,1-4-5
20260722,10,8,1-2-3
20260722,10,8,1-2-4
20260722,10,8,1-2-5
20260722,10,8,1-4-2
20260722,10,8,2-1-4
20260722,13,6,1-2-4
20260722,13,6,1-3-4
20260722,13,6,1-4-2
20260722,13,6,1-4-3
20260722,13,6,1-4-5
20260722,14,1,1-3-4
20260722,14,1,1-4-2
20260722,14,1,1-4-3
20260722,14,3,1-2-3
20260722,14,3,1-2-4
20260722,14,3,1-2-5
20260722,14,3,1-3-2
20260722,14,3,1-4-2
20260722,14,4,1-3-2
20260722,14,4,1-3-4
20260722,14,4,1-3-6
20260722,14,4,1-4-3
20260722,14,4,1-6-3
20260722,15,8,1-2-3
20260722,15,8,1-2-4
20260722,15,8,1-3-2
20260722,15,8,1-4-2
20260722,15,8,2-1-4
20260722,16,5,1-2-3
20260722,16,5,1-2-4
20260722,16,5,1-3-2
20260722,16,5,1-3-4
20260722,16,5,1-4-2
20260722,16,5,1-4-3
20260722,16,5,1-4-5
20260722,16,6,1-2-3
20260722,16,6,1-2-4
20260722,16,6,1-2-5
20260722,16,6,1-3-2
20260722,16,6,1-3-4
20260722,16,6,1-3-5
20260722,16,6,1-3-6
20260722,16,7,1-2-3
20260722,16,7,1-2-4
20260722,16,7,1-3-2
20260722,16,7,1-3-4
20260722,16,7,1-4-3
20260722,16,8,1-2-3
20260722,16,8,1-2-4
20260722,16,8,1-3-2
20260722,16,8,1-3-4
20260722,16,8,1-4-2
20260722,16,8,1-4-3
20260722,16,8,1-4-5
20260722,19,10,1-2-3
20260722,19,10,1-2-4
20260722,19,10,1-2-5
20260722,19,10,1-3-2
20260722,19,10,1-5-2
20260722,19,7,1-2-4
20260722,19,7,1-3-4
20260722,19,7,1-4-2
20260722,19,7,1-4-3
20260722,19,7,4-1-3
20260722,19,8,1-2-4
20260722,19,8,1-3-4
20260722,19,8,1-4-2
20260722,19,8,1-4-3
20260722,19,8,1-4-5
20260722,19,9,1-2-3
20260722,19,9,1-2-4
20260722,19,9,1-2-5
20260722,19,9,1-3-2
20260722,19,9,1-4-2
20260722,19,9,1-5-2
20260722,19,9,1-5-4
20260722,23,1,1-2-3
20260722,23,1,1-3-2
20260722,23,3,1-3-4
20260722,23,3,1-4-2
20260722,23,3,1-4-3
20260722,23,3,1-4-5
20260722,23,3,4-1-3
20260722,23,5,1-2-4
20260722,23,5,1-3-4
20260722,23,5,1-4-2
20260722,23,5,1-4-3
20260722,23,5,4-1-2
20260722,24,1,1-2-3
20260722,24,1,1-3-2
20260722,24,1,1-3-4
20260722,24,1,1-3-5
20260722,24,1,1-4-3
20260722,24,5,1-2-4
20260722,24,5,1-3-2
20260722,24,5,1-3-4
20260722,24,5,1-4-2
20260722,24,5,1-4-3
20260722,24,7,1-2-3
20260722,24,7,1-3-2
20260722,24,7,1-3-4
20260722,24,7,1-3-5
20260722,24,7,3-1-2
20260722,24,8,1-2-3
20260722,24,8,1-2-4
20260722,24,8,1-2-5
20260722,24,8,1-3-2
20260722,24,8,2-1-3
20260722,24,9,1-2-4
20260722,24,9,1-2-5
20260722,24,9,1-2-6
20260722,24,9,1-4-2
20260722,24,9,1-5-2
20260723,01,11,1-2-3
20260723,01,11,1-2-4
20260723,01,11,1-3-2
20260723,01,11,1-3-4
20260723,01,6,1-2-3
20260723,01,6,1-3-2
20260723,01,6,1-3-4
20260723,01,6,1-4-3
20260723,01,8,1-2-3
20260723,01,8,1-2-4
20260723,01,8,1-2-5
20260723,01,8,1-3-2
20260723,01,8,1-5-2
20260723,01,9,1-2-3
20260723,01,9,1-2-4
20260723,01,9,1-3-2
20260723,01,9,1-3-4
20260723,01,9,1-4-2
20260723,05,3,1-2-3
20260723,05,3,1-2-5
20260723,05,3,1-3-2
20260723,05,3,2-1-3
20260723,05,3,2-1-5
20260723,08,1,1-2-3
20260723,08,1,1-3-2
20260723,08,10,1-2-4
20260723,08,10,1-2-5
20260723,08,10,1-4-2
20260723,08,10,1-4-5
20260723,08,10,1-5-2
20260723,08,11,1-2-3
20260723,08,11,1-2-4
20260723,08,11,1-2-5
20260723,08,11,1-3-2
20260723,08,11,1-5-2
20260723,08,5,1-2-5
20260723,08,5,1-3-5
20260723,08,5,1-5-2
20260723,08,5,1-5-3
20260723,08,5,1-5-6
20260723,09,9,1-2-3
20260723,09,9,1-2-5
20260723,09,9,1-3-2
20260723,09,9,1-3-4
20260723,09,9,1-3-5
20260723,09,9,1-3-6
20260723,09,9,1-5-3
20260723,13,10,1-3-4
20260723,13,10,1-4-2
20260723,13,10,1-4-3
20260723,13,10,3-1-4
20260723,13,10,4-1-3
20260723,13,12,1-2-3
20260723,13,12,1-3-2
20260723,13,12,1-3-4
20260723,13,12,1-4-2
20260723,13,12,1-4-3
20260723,13,9,1-2-3
20260723,13,9,1-3-2
20260723,13,9,1-3-4
20260723,13,9,1-3-6
20260723,13,9,1-4-3
20260723,14,1,1-2-3
20260723,14,1,1-2-4
20260723,14,1,1-3-2
20260723,14,1,1-4-2
20260723,14,1,1-4-3
20260723,14,2,1-3-4
20260723,14,2,1-3-5
20260723,14,2,1-4-3
20260723,14,2,1-5-3
20260723,14,2,3-1-4
20260723,14,3,1-2-3
20260723,14,3,1-2-4
20260723,14,3,1-4-2
20260723,14,3,2-1-4
20260723,14,3,4-1-2
20260723,14,4,1-2-3
20260723,14,4,1-3-2
20260723,14,4,1-3-6
20260723,14,4,1-6-3
20260723,14,5,1-2-3
20260723,14,5,1-2-5
20260723,14,5,1-2-6
20260723,14,5,1-3-2
20260723,14,5,2-1-3
20260723,15,10,1-2-3
20260723,15,10,1-2-4
20260723,15,10,1-3-2
20260723,15,10,1-4-2
20260723,15,10,2-1-3
20260723,15,8,1-2-3
20260723,15,8,1-2-4
20260723,15,8,1-3-2
20260723,15,8,1-4-2
20260723,15,8,2-1-4
20260723,19,1,1-2-3
20260723,19,1,1-2-4
20260723,19,1,1-2-5
20260723,19,1,1-4-2
20260723,19,1,1-5-2
20260723,19,12,1-2-3
20260723,19,12,1-3-2
20260723,19,12,1-3-4
20260723,19,12,1-4-3
20260723,19,12,3-1-4
20260723,19,4,1-2-3
20260723,19,4,1-3-2
20260723,19,4,1-3-4
20260723,19,4,1-3-5
20260723,19,4,1-5-3
20260723,19,5,1-4-2
20260723,19,5,1-4-3
20260723,19,5,1-4-5
20260723,19,5,1-5-4
20260723,19,5,4-1-5
20260723,19,7,1-3-2
20260723,19,7,1-3-4
20260723,19,7,1-3-5
20260723,19,7,1-3-6
20260723,19,7,1-6-3
20260723,21,1,1-2-3
20260723,21,1,1-3-2
20260723,21,1,1-3-4
20260723,21,1,1-4-3
20260723,21,10,1-2-4
20260723,21,10,1-3-4
20260723,21,10,1-4-2
20260723,21,10,1-4-3
20260723,21,11,1-2-3
20260723,21,11,1-2-4
20260723,21,11,1-3-2
20260723,21,11,1-3-4
20260723,21,11,1-4-3
20260723,21,4,1-3-2
20260723,21,4,1-3-4
20260723,21,4,1-3-5
20260723,21,4,1-3-6
20260723,21,4,1-4-3
20260723,21,5,1-2-4
20260723,21,5,1-4-2
20260723,21,5,1-4-5
20260723,21,5,1-5-2
20260723,21,5,1-5-4
20260723,21,7,1-2-4
20260723,21,7,1-2-5
20260723,21,7,1-4-2
20260723,21,7,1-4-5
20260723,21,7,1-4-6
20260723,21,7,1-5-2
20260723,21,7,1-5-4
20260723,21,9,1-2-3
20260723,21,9,1-2-4
20260723,21,9,1-3-4
20260723,21,9,1-4-2
20260723,21,9,1-4-3
20260723,23,1,1-3-2
20260723,23,1,1-3-4
20260723,23,1,1-4-3
20260723,23,3,1-2-3
20260723,23,3,1-3-2
20260723,23,3,1-3-5
20260723,23,3,2-1-3
20260723,23,3,3-1-2
20260723,23,5,1-2-4
20260723,23,5,1-3-4
20260723,23,5,1-4-2
20260723,23,5,1-4-3
20260723,24,5,1-2-4
20260723,24,5,1-2-6
20260723,24,5,1-4-2
20260723,24,5,1-4-5
20260723,24,5,1-4-6
20260723,24,5,1-6-2
20260723,24,5,1-6-4
20260723,24,7,1-2-4
20260723,24,7,1-4-2
20260723,24,7,1-4-3
20260723,24,7,1-4-6
20260723,24,7,1-6-4
20260723,24,8,1-2-4
20260723,24,8,1-4-2
20260723,24,8,1-4-6
20260723,24,9,1-2-4
20260723,24,9,1-3-4
20260723,24,9,1-4-2
20260723,24,9,1-4-3
20260723,24,9,1-4-5
20260724,01,11,1-2-3
20260724,01,11,1-3-2
20260724,01,11,1-3-4
20260724,01,11,1-4-3
20260724,01,11,3-1-2
20260724,01,6,1-2-3
20260724,01,6,1-2-4
20260724,01,6,1-2-5
20260724,01,6,1-3-2
20260724,01,6,1-3-4
20260724,01,6,1-4-2
20260724,01,6,1-4-3
20260724,01,6,1-4-5
20260724,01,7,1-3-2
20260724,01,7,1-3-4
20260724,01,7,1-3-5
20260724,01,7,1-3-6
20260724,01,7,3-1-5
20260724,01,8,1-2-5
20260724,01,8,1-3-5
20260724,01,8,1-5-2
20260724,01,8,1-5-3
20260724,01,8,1-5-4
20260724,02,7,1-2-3
20260724,02,7,1-2-4
20260724,02,7,1-3-2
20260724,02,7,1-3-4
20260724,02,7,1-4-2
20260724,06,1,1-2-3
20260724,06,1,1-2-4
20260724,06,1,1-3-4
20260724,06,1,1-4-2
20260724,06,1,1-4-3
20260724,06,11,1-2-3
20260724,06,11,1-2-4
20260724,06,11,1-3-2
20260724,06,11,1-4-2
20260724,06,11,2-1-3
20260724,06,2,1-2-3
20260724,06,2,1-2-4
20260724,06,2,1-3-2
20260724,06,2,1-4-2
20260724,06,2,1-4-3
20260724,06,4,1-2-3
20260724,06,4,1-2-5
20260724,06,4,1-3-2
20260724,06,4,1-3-5
