racer_id,grade,races,wins,win_rate,low_sample
3411,4,7,0,0.0,1
3411,5,251,12,0.0478,0
3412,4,65,13,0.2,0
3412,5,306,76,0.2484,0
3414,5,80,9,0.1125,0
3415,1,83,11,0.1325,0
3415,2,143,27,0.1888,0
3415,3,17,6,0.3529,0
3415,5,103,34,0.3301,0
3419,5,86,2,0.0233,0
3422,1,8,0,0.0,1
3422,2,41,6,0.1463,0
3422,3,9,1,0.1111,1
3422,4,53,14,0.2642,0
3422,5,237,77,0.3249,0
3430,4,29,3,0.1034,0
3430,5,276,31,0.1123,0
3432,4,26,1,0.0385,0
3432,5,246,19,0.0772,0
3434,4,45,1,0.0222,0
3434,5,258,30,0.1163,0
3435,1,8,3,0.375,1
3435,2,35,2,0.0571,0
3435,3,16,2,0.125,0
3435,4,95,21,0.2211,0
3435,5,190,46,0.2421,0
3436,4,28,2,0.0714,0
3436,5,253,52,0.2055,0
3439,4,54,12,0.2222,0
3439,5,280,60,0.2143,0
3441,4,55,3,0.0545,0
3441,5,239,19,0.0795,0
3442,4,56,5,0.0893,0
3442,5,225,18,0.08,0
3444,4,19,0,0.0,0
3444,5,158,13,0.0823,0
3445,4,30,2,0.0667,0
3445,5,236,24,0.1017,0
3448,4,38,3,0.0789,0
3448,5,187,13,0.0695,0
3454,4,32,5,0.1562,0
3454,5,241,24,0.0996,0
3455,4,38,1,0.0263,0
3455,5,258,37,0.1434,0
3458,4,9,0,0.0,1
3458,5,244,20,0.082,0
3459,4,46,2,0.0435,0
3459,5,213,12,0.0563,0
3461,5,184,12,0.0652,0
3462,5,74,10,0.1351,0
3463,4,8,0,0.0,1
3463,5,276,22,0.0797,0
3467,4,9,0,0.0,1
3467,5,231,13,0.0563,0
3470,2,8,1,0.125,1
3470,4,79,10,0.1266,0
3470,5,163,26,0.1595,0
3471,4,19,3,0.1579,0
3471,5,239,14,0.0586,0
3473,2,9,0,0.0,1
3473,4,70,21,0.3,0
3473,5,296,88,0.2973,0
3474,4,110,13,0.1182,0
3474,5,197,12,0.0609,0
3475,4,17,2,0.1176,0
3475,5,262,46,0.1756,0
3477,5,273,12,0.044,0
3478,4,20,1,0.05,0
3478,5,289,41,0.1419,0
3482,3,3,0,0.0,1
3482,4,75,9,0.12,0
3482,5,294,38,0.1293,0
3484,5,302,63,0.2086,0
3489,4,89,13,0.1461,0
3489,5,318,62,0.195,0
3497,4,40,8,0.2,0
3497,5,221,34,0.1538,0
3499,3,17,1,0.0588,0
3499,4,31,7,0.2258,0
3499,5,289,71,0.2457,0
3502,4,19,4,0.2105,0
3502,5,304,42,0.1382,0
3503,4,39,3,0.0769,0
3503,5,251,18,0.0717,0
3505,4,30,5,0.1667,0
3505,5,304,46,0.1513,0
3507,5,232,15,0.0647,0
3508,4,28,3,0.1071,0
3508,5,277,38,0.1372,0
3509,4,92,2,0.0217,0
3509,5,131,5,0.0382,0
3514,4,79,20,0.2532,0
3514,5,245,54,0.2204,0
3516,4,38,5,0.1316,0
3516,5,229,18,0.0786,0
3517,4,68,11,0.1618,0
3517,5,239,43,0.1799,0
3518,4,75,4,0.0533,0
3518,5,155,8,0.0516,0
3519,4,28,2,0.0714,0
3519,5,245,18,0.0735,0
3523,4,9,0,0.0,1
3523,5,227,12,0.0529,0
3527,4,85,10,0.1176,0
3527,5,240,32,0.1333,0
3528,4,94,9,0.0957,0
3528,5,147,10,0.068,0
3532,1,8,2,0.25,1
3532,2,18,1,0.0556,0
3532,4,20,6,0.3,0
3532,5,194,55,0.2835,0
3535,4,22,2,0.0909,0
3535,5,244,23,0.0943,0
3538,5,183,12,0.0656,0
3539,5,313,25,0.0799,0
3541,2,16,3,0.1875,0
3541,4,49,9,0.1837,0
3541,5,280,59,0.2107,0
3542,4,9,1,0.1111,1
3542,5,270,22,0.0815,0
3543,4,15,2,0.1333,0
3543,5,218,33,0.1514,0
3544,4,44,2,0.0455,0
3544,5,165,9,0.0545,0
3546,4,21,2,0.0952,0
3546,5,253,18,0.0711,0
3548,4,31,5,0.1613,0
3548,5,339,61,0.1799,0
3550,4,14,1,0.0714,0
3550,5,329,70,0.2128,0
3551,4,46,2,0.0435,0
3551,5,171,11,0.0643,0
3553,5,10,2,0.2,0
3554,2,16,3,0.1875,0
3554,4,109,31,0.2844,0
3554,5,297,79,0.266,0
3556,2,43,7,0.1628,0
3556,4,57,14,0.2456,0
3556,5,264,89,0.3371,0
3557,2,80,9,0.1125,0
3557,3,26,4,0.1538,0
3557,4,64,21,0.3281,0
3557,5,274,65,0.2372,0
3558,4,25,3,0.12,0
3558,5,245,34,0.1388,0
3562,2,8,0,0.0,1
3562,4,51,16,0.3137,0
3562,5,308,62,0.2013,0
3563,4,71,10,0.1408,0
3563,5,256,40,0.1562,0
3564,4,42,6,0.1429,0
3564,5,261,30,0.1149,0
3566,4,27,1,0.037,0
3566,5,268,32,0.1194,0
3567,4,14,0,0.0,0
3567,5,195,15,0.0769,0
3568,4,43,6,0.1395,0
3568,5,235,24,0.1021,0
3569,4,17,2,0.1176,0
3569,5,281,17,0.0605,0
3572,4,39,5,0.1282,0
3572,5,297,42,0.1414,0
3574,4,9,3,0.3333,1
3574,5,313,79,0.2524,0
3576,5,328,65,0.1982,0
3577,4,10,1,0.1,0
3577,5,231,28,0.1212,0
3578,4,9,0,0.0,1
3578,5,191,14,0.0733,0
3579,4,98,14,0.1429,0
3579,5,119,13,0.1092,0
3580,4,106,6,0.0566,0
3580,5,173,13,0.0751,0
3581,5,301,31,0.103,0
3582,4,39,6,0.1538,0
3582,5,311,87,0.2797,0
3583,5,236,7,0.0297,0
3584,4,56,3,0.0536,0
3584,5,245,27,0.1102,0
3587,4,9,0,0.0,1
3587,5,276,19,0.0688,0
3589,5,242,25,0.1033,0
3590,1,25,4,0.16,0
3590,2,130,18,0.1385,0
3590,3,35,12,0.3429,0
3590,4,10,2,0.2,0
3590,5,171,66,0.386,0
3591,5,181,7,0.0387,0
3596,4,18,0,0.0,0
3596,5,219,17,0.0776,0
3600,4,18,1,0.0556,0
3600,5,31,3,0.0968,0
3602,4,17,2,0.1176,0
3602,5,245,22,0.0898,0
3604,4,84,13,0.1548,0
3604,5,172,10,0.0581,0
3605,5,261,20,0.0766,0
3606,3,8,0,0.0,1
3606,5,325,50,0.1538,0
3611,1,7,0,0.0,1
3611,2,43,3,0.0698,0
3611,3,26,5,0.1923,0
3611,4,70,15,0.2143,0
3611,5,153,24,0.1569,0
3612,4,74,15,0.2027,0
3612,5,336,82,0.244,0
3613,2,9,0,0.0,1
3613,3,7,0,0.0,1
3613,4,21,3,0.1429,0
3613,5,336,75,0.2232,0
3614,4,49,7,0.1429,0
3614,5,271,19,0.0701,0
3615,2,3,0,0.0,1
3615,4,18,3,0.1667,0
3615,5,289,26,0.09,0
3616,4,48,5,0.1042,0
3616,5,213,29,0.1362,0
3617,5,267,32,0.1199,0
3618,1,7,3,0.4286,1
3618,2,44,4,0.0909,0
3618,3,17,2,0.1176,0
3618,4,95,25,0.2632,0
3618,5,177,48,0.2712,0
3619,4,56,2,0.0357,0
3619,5,245,34,0.1388,0
3620,4,9,0,0.0,1
3620,5,256,24,0.0938,0
3621,4,39,6,0.1538,0
3621,5,197,21,0.1066,0
3623,2,18,5,0.2778,0
3623,3,8,6,0.75,1
3623,5,315,114,0.3619,0
3627,4,30,4,0.1333,0
3627,5,288,42,0.1458,0
3629,2,7,0,0.0,1
3629,4,28,7,0.25,0
3629,5,279,63,0.2258,0
3630,4,18,0,0.0,0
3630,5,169,8,0.0473,0
3631,5,147,4,0.0272,0
3635,4,29,5,0.1724,0
3635,5,269,33,0.1227,0
3637,4,8,0,0.0,1
3637,5,254,18,0.0709,0
3641,5,360,82,0.2278,0
3642,5,241,19,0.0788,0
3643,5,304,40,0.1316,0
3645,2,9,0,0.0,1
3645,4,16,4,0.25,0
3645,5,105,10,0.0952,0
3647,4,9,0,0.0,1
3647,5,275,12,0.0436,0
3652,5,245,16,0.0653,0
3653,4,8,0,0.0,1
3653,5,192,12,0.0625,0
3654,2,26,2,0.0769,0
3654,4,42,9,0.2143,0
3654,5,257,83,0.323,0
3655,5,342,45,0.1316,0
3656,4,36,3,0.0833,0
3656,5,221,19,0.086,0
3659,5,269,32,0.119,0
3660,4,9,0,0.0,1
3660,5,238,9,0.0378,0
3661,4,10,2,0.2,0
3661,5,327,41,0.1254,0
3662,4,44,6,0.1364,0
3662,5,291,54,0.1856,0
3663,4,59,9,0.1525,0
3663,5,288,42,0.1458,0
3664,4,50,8,0.16,0
3664,5,229,32,0.1397,0
3679,2,9,1,0.1111,1
3679,4,31,7,0.2258,0
3679,5,322,67,0.2081,0
3680,4,19,0,0.0,0
3680,5,277,22,0.0794,0
3681,5,239,37,0.1548,0
3684,4,15,1,0.0667,0
3684,5,287,50,0.1742,0
3685,3,16,0,0.0,0
3685,4,37,2,0.0541,0
3685,5,240,39,0.1625,0
3686,3,17,2,0.1176,0
3686,4,41,7,0.1707,0
3686,5,279,55,0.1971,0
3687,4,34,2,0.0588,0
3687,5,232,31,0.1336,0
3690,4,62,5,0.0806,0
3690,5,242,23,0.095,0
3692,4,10,2,0.2,0
3692,5,285,38,0.1333,0
3696,4,10,0,0.0,0
3696,5,287,27,0.0941,0
3699,4,17,1,0.0588,0
3699,5,236,23,0.0975,0
3701,4,15,1,0.0667,0
3701,5,250,16,0.064,0
3702,5,8,0,0.0,1
3703,4,35,5,0.1429,0
3703,5,269,57,0.2119,0
3704,4,83,4,0.0482,0
3704,5,125,6,0.048,0
3708,4,19,4,0.2105,0
3708,5,283,31,0.1095,0
3710,4,84,9,0.1071,0
3710,5,210,16,0.0762,0
3711,2,9,2,0.2222,1
3711,3,22,2,0.0909,0
3711,4,46,8,0.1739,0
3711,5,316,62,0.1962,0
3712,4,45,5,0.1111,0
3712,5,242,31,0.1281,0
3713,4,50,11,0.22,0
3713,5,258,54,0.2093,0
3714,4,37,5,0.1351,0
3714,5,250,25,0.1,0
3715,4,20,4,0.2,0
3715,5,233,26,0.1116,0
3716,1,74,4,0.0541,0
3716,2,104,13,0.125,0
3716,3,34,9,0.2647,0
3716,4,18,5,0.2778,0
3716,5,104,40,0.3846,0
3717,3,9,1,0.1111,1
3717,4,12,1,0.0833,0
3717,5,237,39,0.1646,0
3718,4,19,0,0.0,0
3718,5,277,37,0.1336,0
3719,1,33,3,0.0909,0
3719,2,119,14,0.1176,0
3719,3,34,5,0.1471,0
3719,4,12,4,0.3333,0
3719,5,150,46,0.3067,0
3721,1,41,7,0.1707,0
3721,2,95,14,0.1474,0
3721,3,16,7,0.4375,0
3721,5,187,78,0.4171,0
3722,5,262,11,0.042,0
3726,4,19,2,0.1053,0
3726,5,160,14,0.0875,0
3730,4,57,5,0.0877,0
3730,5,251,26,0.1036,0
3731,5,299,32,0.107,0
3736,4,19,1,0.0526,0
3736,5,61,8,0.1311,0
3737,1,8,3,0.375,1
3737,2,27,6,0.2222,0
3737,3,8,0,0.0,1
3737,4,35,7,0.2,0
3737,5,226,66,0.292,0
3740,2,18,1,0.0556,0
3740,4,67,17,0.2537,0
3740,5,266,73,0.2744,0
3741,4,13,1,0.0769,0
3741,5,248,13,0.0524,0
3742,4,11,1,0.0909,0
3742,5,237,22,0.0928,0
3743,2,25,3,0.12,0
3743,4,7,0,0.0,1
3743,5,311,81,0.2605,0
3744,2,79,13,0.1646,0
3744,3,26,5,0.1923,0
3744,4,51,17,0.3333,0
3744,5,242,87,0.3595,0
3745,5,254,31,0.122,0
3746,4,30,6,0.2,0
3746,5,360,62,0.1722,0
3747,4,47,9,0.1915,0
3747,5,233,32,0.1373,0
3748,4,18,1,0.0556,0
3748,5,262,15,0.0573,0
3752,5,273,19,0.0696,0
3757,5,279,38,0.1362,0
3761,4,17,1,0.0588,0
3761,5,233,41,0.176,0
3769,4,31,3,0.0968,0
3769,5,243,32,0.1317,0
3771,4,57,7,0.1228,0
3771,5,248,41,0.1653,0
3772,4,66,9,0.1364,0
3772,5,215,23,0.107,0
3773,4,46,5,0.1087,0
3773,5,224,22,0.0982,0
3775,4,46,4,0.087,0
3775,5,274,16,0.0584,0
3776,5,280,7,0.025,0
3777,3,8,0,0.0,1
3777,4,41,4,0.0976,0
3777,5,290,64,0.2207,0
3778,4,138,7,0.0507,0
3778,5,66,0,0.0,0
3779,1,84,13,0.1548,0
3779,2,133,33,0.2481,0
3779,3,17,3,0.1765,0
3779,4,17,7,0.4118,0
3779,5,86,40,0.4651,0
3783,1,84,7,0.0833,0
3783,2,151,26,0.1722,0
3783,3,17,6,0.3529,0
3783,5,104,40,0.3846,0
3784,4,20,0,0.0,0
3784,5,264,38,0.1439,0
3787,4,19,1,0.0526,0
3787,5,214,10,0.0467,0
3788,2,8,1,0.125,1
3788,4,20,5,0.25,0
3788,5,184,39,0.212,0
3790,4,8,1,0.125,1
3790,5,252,19,0.0754,0
3792,4,11,4,0.3636,0
3792,5,262,52,0.1985,0
3793,4,28,5,0.1786,0
3793,5,209,17,0.0813,0
3796,4,68,6,0.0882,0
3796,5,228,23,0.1009,0
3797,4,10,2,0.2,0
3797,5,299,11,0.0368,0
3800,4,25,2,0.08,0
3800,5,240,35,0.1458,0
3801,4,39,7,0.1795,0
3801,5,144,20,0.1389,0
3802,4,19,1,0.0526,0
3802,5,16,1,0.0625,0
3804,5,303,32,0.1056,0
3805,4,19,1,0.0526,0
3805,5,259,34,0.1313,0
3807,4,27,3,0.1111,0
3807,5,275,23,0.0836,0
3808,4,10,0,0.0,0
3808,5,246,17,0.0691,0
3809,4,48,1,0.0208,0
3809,5,185,13,0.0703,0
3811,5,369,88,0.2385,0
3812,4,11,1,0.0909,0
3812,5,275,18,0.0655,0
3813,2,8,0,0.0,1
3813,4,31,7,0.2258,0
3813,5,281,76,0.2705,0
3814,4,14,0,0.0,0
3814,5,300,27,0.09,0
3820,4,11,0,0.0,0
3820,5,163,2,0.0123,0
3822,2,50,5,0.1,0
3822,3,31,7,0.2258,0
3822,4,10,5,0.5,0
3822,5,262,81,0.3092,0
3825,4,28,5,0.1786,0
3825,5,235,23,0.0979,0
3826,3,16,1,0.0625,0
3826,5,287,48,0.1672,0
3827,5,286,12,0.042,0
3828,4,43,3,0.0698,0
3828,5,248,29,0.1169,0
3831,4,9,1,0.1111,1
3831,5,267,34,0.1273,0
3832,4,21,4,0.1905,0
3832,5,168,7,0.0417,0
3833,4,21,4,0.1905,0
3833,5,337,91,0.27,0
3834,5,261,21,0.0805,0
3837,2,8,3,0.375,1
3837,3,8,2,0.25,1
3837,4,19,8,0.4211,0
3837,5,291,68,0.2337,0
3838,4,20,4,0.2,0
3838,5,246,31,0.126,0
3839,3,3,0,0.0,1
3839,4,19,1,0.0526,0
3839,5,278,17,0.0612,0
3841,2,8,0,0.0,1
3841,5,352,74,0.2102,0
3842,4,8,0,0.0,1
3842,5,257,42,0.1634,0
3843,4,49,4,0.0816,0
3843,5,255,35,0.1373,0
3845,2,8,0,0.0,1
3845,4,97,27,0.2784,0
3845,5,112,15,0.1339,0
3848,3,3,0,0.0,1
3848,4,33,6,0.1818,0
3848,5,283,30,0.106,0
3849,1,8,0,0.0,1
3849,2,9,1,0.1111,1
3849,4,30,13,0.4333,0
3849,5,229,103,0.4498,0
3850,4,19,0,0.0,0
3850,5,314,40,0.1274,0
3851,5,125,5,0.04,0
3852,4,44,5,0.1136,0
3852,5,250,33,0.132,0
3853,4,70,10,0.1429,0
3853,5,275,53,0.1927,0
3854,1,31,0,0.0,0
3854,2,102,14,0.1373,0
3854,3,34,7,0.2059,0
3854,4,21,10,0.4762,0
3854,5,126,48,0.381,0
3855,4,8,0,0.0,1
3855,5,46,0,0.0,0
3857,4,28,3,0.1071,0
3857,5,232,34,0.1466,0
3859,5,238,20,0.084,0
3860,5,281,18,0.0641,0
3863,4,27,1,0.037,0
3863,5,246,20,0.0813,0
3866,4,8,0,0.0,1
3866,5,231,15,0.0649,0
3867,5,272,16,0.0588,0
3868,4,27,0,0.0,0
3868,5,252,24,0.0952,0
3869,4,17,1,0.0588,0
3869,5,253,18,0.0711,0
3870,4,8,0,0.0,1
3870,5,293,32,0.1092,0
3871,4,53,6,0.1132,0
3871,5,144,13,0.0903,0
3872,5,345,67,0.1942,0
3873,5,291,44,0.1512,0
3874,2,17,2,0.1176,0
3874,3,25,6,0.24,0
3874,4,38,9,0.2368,0
3874,5,262,70,0.2672,0
3875,4,37,3,0.0811,0
3875,5,255,31,0.1216,0
3876,1,7,0,0.0,1
3876,2,31,4,0.129,0
3876,3,20,6,0.3,0
3876,4,32,13,0.4062,0
3876,5,194,96,0.4948,0
3878,4,26,1,0.0385,0
3878,5,238,23,0.0966,0
3880,4,56,4,0.0714,0
3880,5,239,20,0.0837,0
3882,4,13,2,0.1538,0
3882,5,298,35,0.1174,0
3885,5,309,46,0.1489,0
3888,3,9,0,0.0,1
3888,4,70,12,0.1714,0
3888,5,281,51,0.1815,0
3889,5,274,19,0.0693,0
3891,4,9,0,0.0,1
3891,5,299,16,0.0535,0
3892,4,18,2,0.1111,0
3892,5,270,34,0.1259,0
3893,4,41,2,0.0488,0
3893,5,234,31,0.1325,0
3895,5,149,12,0.0805,0
3896,4,9,0,0.0,1
3896,5,233,26,0.1116,0
3897,1,94,14,0.1489,0
3897,2,140,30,0.2143,0
3897,3,9,3,0.3333,1
3897,4,10,3,0.3,0
3897,5,70,32,0.4571,0
3898,1,8,1,0.125,1
3898,2,13,3,0.2308,0
3898,4,41,12,0.2927,0
3898,5,284,93,0.3275,0
3900,2,24,4,0.1667,0
3900,4,64,19,0.2969,0
3900,5,229,44,0.1921,0
3901,4,9,0,0.0,1
3901,5,213,29,0.1362,0
3904,5,216,29,0.1343,0
3905,5,363,64,0.1763,0
3906,4,28,2,0.0714,0
3906,5,264,22,0.0833,0
3907,2,9,2,0.2222,1
3907,4,49,6,0.1224,0
3907,5,287,56,0.1951,0
3908,1,8,1,0.125,1
3908,2,70,14,0.2,0
3908,3,25,8,0.32,0
3908,4,22,5,0.2273,0
3908,5,240,75,0.3125,0
3909,2,30,3,0.1,0
3909,4,63,24,0.381,0
3909,5,268,91,0.3396,0
3910,4,10,1,0.1,0
3910,5,280,32,0.1143,0
3911,4,27,3,0.1111,0
3911,5,328,48,0.1463,0
3912,4,90,20,0.2222,0
3912,5,248,65,0.2621,0
3915,4,53,14,0.2642,0
3915,5,315,62,0.1968,0
3918,3,17,3,0.1765,0
3918,4,41,8,0.1951,0
3918,5,314,75,0.2389,0
3920,4,35,3,0.0857,0
3920,5,212,27,0.1274,0
3921,4,13,0,0.0,0
3921,5,125,13,0.104,0
3922,4,18,0,0.0,0
3922,5,300,20,0.0667,0
3928,4,18,0,0.0,0
3928,5,260,21,0.0808,0
3929,4,29,0,0.0,0
3929,5,266,30,0.1128,0
3930,4,37,8,0.2162,0
3930,5,284,51,0.1796,0
3931,3,9,2,0.2222,1
3931,4,53,10,0.1887,0
3931,5,221,35,0.1584,0
3932,4,84,12,0.1429,0
3932,5,143,22,0.1538,0
3933,4,29,2,0.069,0
3933,5,302,50,0.1656,0
3934,2,3,0,0.0,1
3934,4,27,1,0.037,0
3934,5,293,28,0.0956,0
3935,4,33,2,0.0606,0
3935,5,228,28,0.1228,0
3939,5,133,25,0.188,0
3940,2,19,3,0.1579,0
3940,3,34,3,0.0882,0
3940,4,39,11,0.2821,0
3940,5,309,83,0.2686,0
3941,1,100,22,0.22,0
3941,2,165,46,0.2788,0
3941,3,18,4,0.2222,0
3941,4,10,4,0.4,0
3941,5,75,43,0.5733,0
3942,1,34,3,0.0882,0
3942,2,86,10,0.1163,0
3942,3,22,1,0.0455,0
3942,5,170,62,0.3647,0
3943,4,18,0,0.0,0
3943,5,35,0,0.0,0
3944,2,8,0,0.0,1
3944,3,9,0,0.0,1
3944,4,19,5,0.2632,0
3944,5,264,53,0.2008,0
3945,4,41,2,0.0488,0
3945,5,180,11,0.0611,0
3946,1,31,5,0.1613,0
3946,2,69,5,0.0725,0
3946,3,17,4,0.2353,0
3946,4,44,14,0.3182,0
3946,5,257,92,0.358,0
3947,4,8,1,0.125,1
3947,5,296,31,0.1047,0
3948,5,245,12,0.049,0
3949,4,10,0,0.0,0
3949,5,229,5,0.0218,0
3950,5,232,9,0.0388,0
3951,5,340,53,0.1559,0
3952,2,46,12,0.2609,0
3952,3,9,1,0.1111,1
3952,4,28,2,0.0714,0
3952,5,283,97,0.3428,0
3953,4,18,1,0.0556,0
3953,5,172,12,0.0698,0
3955,4,9,0,0.0,1
3955,5,220,27,0.1227,0
3956,2,24,3,0.125,0
3956,4,49,11,0.2245,0
3956,5,252,62,0.246,0
3957,5,331,38,0.1148,0
3959,1,26,3,0.1154,0
3959,2,95,14,0.1474,0
3959,3,47,10,0.2128,0
3959,4,20,10,0.5,0
3959,5,153,60,0.3922,0
3960,1,17,1,0.0588,0
3960,2,123,29,0.2358,0
3960,3,18,3,0.1667,0
3960,4,65,20,0.3077,0
3960,5,152,56,0.3684,0
3961,3,17,1,0.0588,0
3961,4,39,4,0.1026,0
3961,5,243,67,0.2757,0
3963,4,47,7,0.1489,0
3963,5,281,50,0.1779,0
3964,4,37,0,0.0,0
3964,5,251,15,0.0598,0
3965,4,9,2,0.2222,1
3965,5,335,76,0.2269,0
3966,2,9,0,0.0,1
3966,4,75,18,0.24,0
3966,5,313,88,0.2812,0
3967,4,18,2,0.1111,0
3967,5,244,19,0.0779,0
3968,4,2,0,0.0,1
3968,5,311,53,0.1704,0
3973,2,3,0,0.0,1
3973,4,10,3,0.3,0
3973,5,320,22,0.0688,0
3974,5,247,20,0.081,0
3975,4,31,6,0.1935,0
3975,5,259,44,0.1699,0
3976,5,283,26,0.0919,0
3977,4,40,9,0.225,0
3977,5,271,22,0.0812,0
3978,1,25,1,0.04,0
3978,2,91,11,0.1209,0
3978,3,27,6,0.2222,0
3978,4,60,15,0.25,0
3978,5,137,41,0.2993,0
3981,4,31,7,0.2258,0
3981,5,303,37,0.1221,0
3982,4,9,0,0.0,1
3982,5,261,29,0.1111,0
3983,2,63,5,0.0794,0
3983,3,33,5,0.1515,0
3983,4,63,16,0.254,0
3983,5,222,56,0.2523,0
3984,2,3,0,0.0,1
3984,3,17,3,0.1765,0
3984,4,60,11,0.1833,0
3984,5,292,78,0.2671,0
3986,4,13,2,0.1538,0
3986,5,191,24,0.1257,0
3987,4,28,7,0.25,0
3987,5,268,51,0.1903,0
3988,4,48,15,0.3125,0
3988,5,324,59,0.1821,0
3989,5,254,18,0.0709,0
3990,4,27,1,0.037,0
3990,5,262,33,0.126,0
3992,4,10,2,0.2,0
3992,5,256,38,0.1484,0
3993,4,72,14,0.1944,0
3993,5,189,26,0.1376,0
3994,4,77,8,0.1039,0
3994,5,186,18,0.0968,0
3995,2,16,2,0.125,0
3995,3,8,0,0.0,1
3995,4,11,2,0.1818,0
3995,5,262,70,0.2672,0
3997,2,17,1,0.0588,0
3997,4,63,17,0.2698,0
3997,5,302,77,0.255,0
3998,4,13,1,0.0769,0
3998,5,283,17,0.0601,0
3999,1,7,0,0.0,1
3999,2,35,6,0.1714,0
